midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2010-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,0.48894796495215115,0.2651424979664451,0.22380546698570603,41771944.903364055,-186643988.03998804,-0.2651424979664451,-0.22380546698570603,-41771944.903364055
2010-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,0.5193586874510546,0.2208718819871745,0.2984868054638801,55710767.74909468,-186643988.03998804,-0.2208718819871745,-0.2984868054638801,-55710767.74909468
2011-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,0.5911120349283073,0.2532369964840952,0.33787503844421213,63062344.63439203,-186643988.03998804,-0.2532369964840952,-0.33787503844421213,-63062344.63439203
2011-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,0.5151238047571561,0.3017230516881361,0.21340075306902,39829967.60353861,-186643988.03998804,-0.3017230516881361,-0.21340075306902,-39829967.60353861
2011-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,0.23719509480380796,0.23576995351867303,0.0014251412851349343,265994.0529780179,-186643988.03998804,-0.23576995351867303,-0.0014251412851349343,-265994.0529780179
2011-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,-0.051158663535552096,0.13134751725584107,-0.18250618079139316,-34063681.424852684,-186643988.03998804,-0.13134751725584107,0.18250618079139316,34063681.424852684
2012-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,-0.18370110899870792,0.07026205919967703,-0.25396316819838494,-47400698.52781683,-186643988.03998804,-0.07026205919967703,0.25396316819838494,47400698.52781683
2012-05-16 23:15:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,-0.43906868873047833,-0.005819453677717151,-0.4332492350527612,-80863365.04552153,-186643988.03998804,0.005819453677717151,0.4332492350527612,80863365.04552153
2012-08-16 06:45:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,-0.561768739941241,-0.05700605031273674,-0.5047626896285042,-94210921.40605474,-186643988.03998804,0.05700605031273674,0.5047626896285042,94210921.40605474
2012-11-15 23:15:00,0.0,0.0,0.0,0.0,0.0,186643988.03998804,-0.4248629533667044,-0.02953322750305385,-0.3953297258636505,-73785916.62594694,-186643988.03998804,0.02953322750305385,0.3953297258636505,73785916.62594694
