midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.043449204,0.008911133,0.03453807,1432500.8245199546,-41475993.24603939,-0.0089111328125,-0.03453807160258293,-1432500.8245199546
2019-02-15 21:45:00,9003750.99126172,-0.10054779052734375,-0.02748543955385685,-0.07306235283613205,-657835.2317722376,41475993.24603939,-0.06784292,-0.018410422,-0.0494325,-2050262.085775852,-32472242.25477767,-0.009075017645955086,-0.023629851639270782,1392426.8540036143
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.0027184119,0.025962137,-0.023243725,-964056.5935487598,-41475993.24603939,-0.025962136685848236,0.023243725299835205,964056.5935487598
2019-08-17 12:45:00,19643394.152296543,0.1129659041762352,0.0612378790974617,0.0517280250787735,1016113.9853422283,41475993.24603939,0.068202876,0.08013916,-0.011936285,-495069.2595224314,-21832599.093742847,-0.0189012810587883,0.06366430968046188,1511183.2448646598
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,-0.034356534,-0.03147472,-0.0028818138,-119526.0894718185,-41475993.24603939,0.03147472068667412,0.002881813794374466,119526.0894718185
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.04279347,0.04099343,0.0018000416,74658.5151423514,-41475993.24603939,-0.040993429720401764,-0.0018000416457653046,-74658.5151423514
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.054842435,0.06633412,-0.011491686,-476629.0953067854,-41475993.24603939,-0.06633412092924118,0.01149168610572815,476629.0953067854
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.004377316,0.006783225,-0.002405909,-99787.46087506851,-41475993.24603939,-0.006783225107938051,0.002405908890068531,99787.46087506851
2020-11-16 02:15:00,14660987.760002613,0.0986066535115242,0.0776214599609375,0.0209851935505867,307663.6657864374,41475993.24603939,0.07699663,0.08227539,-0.0052787587,-218941.76038204614,-26815005.486036777,-0.0046539306640625,0.026263952255249023,526605.4261684836
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.034334622,0.03135265,0.002981972,123680.24843065967,-41475993.24603939,-0.03135265037417412,-0.002981971949338913,-123680.24843065967
2021-05-17 17:15:00,6575082.820520878,0.10040283203125,0.0514787957072258,0.0489240363240242,321679.5907446309,41475993.24603939,0.05910394,0.062491678,-0.003387738,-140509.79920485063,-34900910.42551851,-0.011012881994247437,0.05231177434325218,462189.3899494815
2021-08-17 00:45:00,13764538.872210493,0.1054941788315773,0.0491681769490242,0.0563260018825531,775301.4424286035,41475993.24603939,0.06212753,0.06169822,0.0004293099,17806.054702624944,-27711454.373828895,-0.012530043721199036,0.05589669197797775,757495.3877259786
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.008285131,-0.008117676,0.016402807,680322.7159443118,-41475993.24603939,0.00811767578125,-0.01640280708670616,-680322.7159443118
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,0.05025854,0.036249336,0.014009204,581045.6406074711,-41475993.24603939,-0.03624933585524559,-0.014009203761816025,-581045.6406074711
2022-05-17 23:15:00,14217325.822729588,0.10793363302946091,0.059295654296875,0.04863797873258591,691501.9910001662,41475993.24603939,0.073160805,0.06506625,0.008094557,335729.776101368,-27258667.423309803,-0.005770593881607056,0.04054342210292816,355772.21489879815
2022-08-17 06:45:00,11047647.241048813,0.10014204680919647,0.0609566830098629,0.03918536379933357,432906.07626720157,41475993.24603939,0.06673647,0.06380393,0.0029325336,121629.74469106355,-30428346.004990578,-0.0028472505509853363,0.03625283017754555,311276.33157613804
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,-0.02534524,-0.045049492,0.019704252,817253.4428393135,-41475993.24603939,0.04504949226975441,-0.01970425248146057,-817253.4428393135
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,41475993.24603939,-0.02927027,-0.051189076,0.021918805,909104.2212514253,-41475993.24603939,0.05118907615542412,-0.021918805316090584,-909104.2212514253
