midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.06453568,0.06728448,-0.0027488023,-453425.3913673826,-164953802.1207924,-0.0672844797372818,0.0027488023042678833,453425.3913673826
2019-02-15 21:45:00,70350897.12334919,0.30220237374305725,0.2479017972946167,0.05430057644844055,3820094.2674627993,164953802.1207924,0.25804842,0.23010762,0.027940795,4608940.340752077,-94602904.9974432,0.017794176936149597,0.026359781622886658,-788846.073289278
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.10974434,0.10377672,0.005967617,984381.1195095619,-164953802.1207924,-0.1037767231464386,-0.005967617034912109,-984381.1195095619
2019-08-17 12:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.19259135,0.18612671,0.0064646453,1066367.8160767849,-164953802.1207924,-0.186126708984375,-0.006464645266532898,-1066367.8160767849
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.0923951,0.07420519,0.018189907,3000494.3320760094,-164953802.1207924,-0.0742051899433136,-0.01818990707397461,-3000494.3320760094
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.16189301,0.15258959,0.009303421,1534634.630735215,-164953802.1207924,-0.1525895893573761,-0.009303420782089233,-1534634.630735215
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.15935928,0.16163465,-0.0022753775,-375332.1718609446,-164953802.1207924,-0.1616346538066864,0.0022753775119781494,375332.1718609446
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.15763581,0.14877912,0.008856684,1460943.6949509145,-164953802.1207924,-0.14877912402153015,-0.00885668396949768,-1460943.6949509145
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.03897486,0.04440053,-0.005425673,-894985.3868119911,-164953802.1207924,-0.04440053179860115,0.0054256729781627655,894985.3868119911
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.0889247,0.08039856,0.008526139,1406419.0390791583,-164953802.1207924,-0.0803985595703125,-0.008526138961315155,-1406419.0390791583
2021-05-17 17:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.19617091,0.19353062,0.002640292,435526.21210182965,-164953802.1207924,-0.1935306191444397,-0.0026402920484542847,-435526.21210182965
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.10194084,0.107165866,-0.005225025,-861887.7592913256,-164953802.1207924,-0.1071658656001091,0.005225025117397308,861887.7592913256
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.026632456,0.0052108765,0.02142158,3533571.0097250226,-164953802.1207924,-0.00521087646484375,-0.021421579644083977,-3533571.0097250226
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.11999003,0.1191864,0.0008036271,132561.34130471043,-164953802.1207924,-0.1191864013671875,-0.000803627073764801,-132561.34130471043
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.12992585,0.13781568,-0.007889837,-1301458.615650429,-164953802.1207924,-0.1378156840801239,0.00788983702659607,1301458.615650429
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.113568425,0.10573154,0.007836886,1292724.1012972097,-164953802.1207924,-0.1057315394282341,-0.007836885750293732,-1292724.1012972097
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.09498636,0.09373983,0.0012465268,205619.3412663139,-164953802.1207924,-0.0937398299574852,-0.001246526837348938,-205619.3412663139
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,164953802.1207924,0.11784559,0.11144172,0.006403871,1056342.850046222,-164953802.1207924,-0.1114417165517807,-0.00640387088060379,-1056342.850046222
