midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,44525197.81046527,0.1399899423122406,0.03503842279314995,0.10495151579380035,4672987.00122713,435508888.86888623,0.05640364,-0.010898694,0.06730233,29310763.535113644,-390983691.05842096,0.04593711718916893,0.037649184465408325,-24637776.533886515
2019-02-15 21:45:00,131228030.89400339,-0.2423827201128006,-0.05708973854780197,-0.18529298901557922,-24315634.086978663,435508888.86888623,-0.10691826,-0.026223505,-0.08069476,-35143284.133664615,-304280857.97488284,-0.030866233631968498,-0.10459823161363602,10827650.046685953
2019-05-18 05:15:00,156622337.94317687,-0.33740314841270447,-0.0070990086533129215,-0.3303041458129883,-51733007.54955422,435508888.86888623,-0.121356875,0.031481553,-0.15283842,-66562492.14658063,-278886550.92570937,-0.03858056291937828,-0.17746572196483612,14829484.597026408
2019-08-17 12:45:00,74780650.06234491,-0.18023939430713654,0.00834092777222395,-0.18858031928539276,-14102158.86512623,435508888.86888623,-0.035267368,0.026820796,-0.06208816,-27039946.316894393,-360728238.8065413,-0.01847986876964569,-0.12649215757846832,12937787.451768164
2019-11-16 20:15:00,81057042.85826299,-0.16020813584327698,-0.08264975994825363,-0.07755837589502335,-6286652.598940178,435508888.86888623,-0.096956976,-0.06810478,-0.028852195,-12565387.188877381,-354451846.0106232,-0.014544978737831116,-0.04870618134737015,6278734.589937204
2020-02-16 03:45:00,18262702.317062855,-0.17381735146045685,0.044944070279598236,-0.2187614142894745,-3995174.587628333,435508888.86888623,0.016704066,0.05318822,-0.036484152,-15889172.533086982,-417246186.5518234,-0.008244149386882782,-0.18227726221084595,11893997.945458649
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,-0.035607588,-0.009808374,-0.025799215,-11235787.388629904,-435508888.86888623,0.009808373637497425,0.025799214839935303,11235787.388629904
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,0.010192579,0.014187942,-0.0039953636,-1740016.36230363,-435508888.86888623,-0.014187942259013653,0.003995363600552082,1740016.36230363
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,-0.033637088,-0.020520162,-0.013116926,-5712537.847958558,-435508888.86888623,0.0205201618373394,0.013116925954818726,5712537.847958558
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,0.016425174,0.021960068,-0.0055348948,-2410495.8688602378,-435508888.86888623,-0.021960068494081497,0.00553489476442337,2410495.8688602378
2021-05-17 17:15:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,0.008616762,0.027013876,-0.018397113,-8012106.375297309,-435508888.86888623,-0.027013875544071198,0.01839711330831051,8012106.375297309
2021-08-17 00:45:00,98491933.02649339,0.17830514907836914,0.04801410436630249,0.13029104471206665,12832616.849732723,435508888.86888623,0.07028417,0.02251841,0.04776576,20802413.766422093,-337016955.84239286,0.02549569495022297,0.08252528309822083,-7969796.91668937
2021-11-16 08:15:00,151440293.2268444,-0.1875980943441391,-0.0753108561038971,-0.112287238240242,-17004812.284734786,435508888.86888623,-0.10533807,-0.06404583,-0.041292235,-17983135.49492283,-284068595.6420418,-0.011265024542808533,-0.07099500298500061,978323.2101880461
2022-02-15 15:45:00,77966386.95483002,-0.19042205810546875,-0.02378184348344803,-0.16664022207260132,-12992336.036351241,435508888.86888623,-0.05734691,-0.009527422,-0.047819488,-20825811.97651274,-357542501.9140562,-0.014254421927034855,-0.11882073432207108,7833475.9401615
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,-0.018277546,0.010670465,-0.028948013,-12607116.863107141,-435508888.86888623,-0.010670465417206287,0.028948012739419937,12607116.863107141
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,-0.01430559,-0.015281825,0.0009762356,425159.2839458848,-435508888.86888623,0.015281825326383114,-0.00097623560577631,-425159.2839458848
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,-0.05343482,-0.03839135,-0.015043467,-6551563.721263172,-435508888.86888623,0.0383913516998291,0.015043467283248901,6551563.721263172
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,435508888.86888623,-0.033358924,-0.023942405,-0.009416519,-4100977.610380678,-435508888.86888623,0.023942405357956886,0.009416518732905388,4100977.610380678
