midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,-0.0005807588,0.0075796028,-0.008160362,-561422.7222143348,-68798751.92167664,-0.007579602766782045,0.008160362020134926,561422.7222143348
2019-02-15 21:45:00,13732351.371223398,0.25748854875564575,0.22389021515846252,0.03359833359718323,461384.12244410027,68798751.92167664,0.21765137,0.22302888,-0.005377516,-369966.39959130797,-55066400.55045324,0.0008613318204879761,0.038975849747657776,831350.5220354083
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.07947517,0.0842751,-0.004799925,-330228.8349290292,-68798751.92167664,-0.08427509665489197,0.004799924790859222,330228.8349290292
2019-08-17 12:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.18262365,0.17720112,0.0054225326,373063.47227540804,-68798751.92167664,-0.17720112204551697,-0.005422532558441162,-373063.47227540804
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.06858502,0.078552246,-0.009967223,-685732.4894389266,-68798751.92167664,-0.07855224609375,0.009967222809791565,685732.4894389266
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.14217955,0.14459871,-0.0024191588,-166435.10726434644,-68798751.92167664,-0.14459870755672455,0.0024191588163375854,166435.10726434644
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.14352232,0.13229048,0.01123184,772736.5501742854,-68798751.92167664,-0.13229048252105713,-0.011231839656829834,-772736.5501742854
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.13980103,0.14104582,-0.0012447983,-85640.56961657258,-68798751.92167664,-0.14104582369327545,0.0012447983026504517,85640.56961657258
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.037015975,0.053330272,-0.016314298,-1122403.3349963564,-68798751.92167664,-0.05333027243614197,0.016314297914505005,1122403.3349963564
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.07488366,0.07244552,0.002438143,167741.18823076267,-68798751.92167664,-0.07244551926851273,-0.0024381428956985474,-167741.18823076267
2021-05-17 17:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.17535862,0.18312314,-0.0077645183,-534189.1656268269,-68798751.92167664,-0.1831231415271759,0.0077645182609558105,534189.1656268269
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.09910722,0.09299509,0.0061121285,420506.81212141336,-68798751.92167664,-0.09299509227275848,-0.006112128496170044,-420506.81212141336
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.007097649,0.01974166,-0.0126440115,-869892.2123615242,-68798751.92167664,-0.019741659983992577,0.012644011527299881,869892.2123615242
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.10549557,0.10352366,0.0019719154,135665.31595664076,-68798751.92167664,-0.10352365672588348,-0.001971915364265442,-135665.31595664076
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.14533581,0.14250425,0.0028315634,194808.02471060693,-68798751.92167664,-0.1425042450428009,-0.002831563353538513,-194808.02471060693
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.09447687,0.09617374,-0.0016968697,-116742.51966299007,-68798751.92167664,-0.0961737409234047,0.0016968697309494019,116742.51966299007
2022-11-16 14:15:00,17574948.3323071,0.3447231650352478,0.12606678903102875,0.21865637600421906,3842874.510803664,68798751.92167664,0.15253332,0.07461387,0.07791945,5360761.143134719,-51223803.589369535,0.05145291984081268,0.140736922621727,-1517886.6323310547
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,68798751.92167664,0.090979375,0.095939234,-0.004959859,-341232.1057395045,-68798751.92167664,-0.09593923389911652,0.004959858953952789,341232.1057395045
