midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area (m^2),static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2010-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0538346073874549,-0.0971255098050094,0.0432909024175545,2896093.0464152377,-66898421.71644974,0.0971255098050094,-0.0432909024175545,-2896093.0464152377
2010-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.017839356084234,-0.0707464341130927,0.0529070780288586,3539400.017759699,-66898421.71644974,0.0707464341130927,-0.0529070780288586,-3539400.017759699
2011-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0253074627396423,-0.0402820812316339,0.0149746184919915,1001778.342920198,-66898421.71644974,0.0402820812316339,-0.0149746184919915,-1001778.342920198
2011-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0818352731225109,-0.0630020675605111,-0.0188332055619997,-1259911.7279592457,-66898421.71644974,0.0630020675605111,0.0188332055619997,1259911.7279592457
2011-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0072010734604592,-0.0205551593284142,0.0133540858679549,893367.2680321301,-66898421.71644974,0.0205551593284142,-0.0133540858679549,-893367.2680321301
2011-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.0229327538000199,-0.001113269183883,0.0240460229839029,1608640.9861805856,-66898421.71644974,0.001113269183883,-0.0240460229839029,-1608640.9861805856
2012-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.0224604709093541,-0.0029015644734245,0.0253620353827786,1696680.1386246448,-66898421.71644974,0.0029015644734245,-0.0253620353827786,-1696680.1386246448
2012-05-16 23:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.0223277040999039,0.0257843224967962,-0.0034566183968922,-231242.31522813893,-66898421.71644974,-0.0257843224967962,0.0034566183968922,231242.31522813893
2012-08-16 06:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.0090843819935693,0.020582556948292,-0.0114981749547226,-769209.7570905589,-66898421.71644974,-0.020582556948292,0.0114981749547226,769209.7570905589
2012-11-15 23:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0109319002185068,0.0147431428429693,-0.0256750430614762,-1717619.8583146415,-66898421.71644974,-0.0147431428429693,0.0256750430614762,1717619.8583146415
2013-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.0384432204824665,0.0247735886678841,0.0136696318145823,914476.7938405294,-66898421.71644974,-0.0247735886678841,-0.0136696318145823,-914476.7938405294
2013-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.1723136142996288,0.0126890097004922,0.1596246045991366,10678634.114794586,-66898421.71644974,-0.0126890097004922,-0.1596246045991366,-10678634.114794586
2013-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.5213339935898766,0.0746839798978288,0.4466500136920477,29880180.97562866,-66898421.71644974,-0.0746839798978288,-0.4466500136920477,-29880180.97562866
2013-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.4971750715325287,0.0798280958749272,0.4173469756576015,27919853.979627103,-66898421.71644974,-0.0798280958749272,-0.4173469756576015,-27919853.979627103
2014-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,0.0484670751920488,-0.0250540165915025,0.0735210917835514,4918445.003189831,-66898421.71644974,0.0250540165915025,-0.0735210917835514,-4918445.003189831
2014-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0139162440651474,0.0005169904433661,-0.0144332345085136,-965560.6088829596,-66898421.71644974,-0.0005169904433661,0.0144332345085136,965560.6088829596
2014-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0803227454312356,0.0084490507149704,-0.088771796146206,-5938693.055115601,-66898421.71644974,-0.0084490507149704,0.088771796146206,5938693.055115601
2014-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.2200695784302275,-0.0002644117381937,-0.2198051666920337,-14704618.736818206,-66898421.71644974,0.0002644117381937,0.2198051666920337,14704618.736818206
2015-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.2143433974901456,-0.0072661029759477,-0.2070772945141978,-13853144.176312272,-66898421.71644974,0.0072661029759477,0.2070772945141978,13853144.176312272
2015-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.178527785162974,-0.0327656221296351,-0.1457621630333389,-9751258.652906207,-66898421.71644974,0.0327656221296351,0.1457621630333389,9751258.652906207
2015-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.1124670879407154,0.0066407367098057,-0.1191078246505212,-7968125.483199519,-66898421.71644974,-0.0066407367098057,0.1191078246505212,7968125.483199519
2015-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,66898421.71644974,-0.0397805601063252,0.0247081900239395,-0.0644887501302648,-4314195.602181207,-66898421.71644974,-0.0247081900239395,0.0644887501302648,4314195.602181207
