midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,48873862.126921654,-0.16998291015625,-0.09471018612384796,-0.07527272403240204,-3678868.736277439,281641064.1563549,-0.07033895,-0.08275249,0.012413539,3496162.3317673323,-232767202.02943325,-0.011957697570323944,-0.08768626302480698,-7175031.068044771
2019-02-15 21:45:00,41321083.00591016,0.17284411191940308,0.11252947896718979,0.06031463295221329,2492265.954689409,281641064.1563549,0.09698735,0.06625064,0.030736715,8656721.009041343,-240319981.15044475,0.04627884179353714,0.029577918350696564,-6164455.054351933
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.018049225,-0.028485248,0.010436023,2939212.525881888,-281641064.1563549,0.028485247865319252,-0.010436022654175758,-2939212.525881888
2019-08-17 12:45:00,7662073.6528401375,0.1898454874753952,0.04669189453125,0.1431535929441452,1096853.3728067367,281641064.1563549,0.032599553,0.032055106,0.00054444745,153338.7597105917,-273978990.50351477,0.01463678851723671,0.1426091492176056,943514.613096145
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.035661034,-0.04568691,0.0100258775,2823698.8097617854,-281641064.1563549,0.045686911791563034,-0.010025877505540848,-2823698.8097617854
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,0.03305438,0.041796036,-0.008741654,-2462008.8633797234,-281641064.1563549,-0.041796036064624786,0.008741654455661774,2462008.8633797234
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,0.01893401,0.0074444255,0.011489584,3235938.695645085,-281641064.1563549,-0.007444425486028194,-0.011489584110677242,-3235938.695645085
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,0.0044560186,0.011605066,-0.0071490477,-2013465.3974050027,-281641064.1563549,-0.011605066247284412,0.007149047683924437,2013465.3974050027
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.030987775,-0.042969216,0.011981441,3374465.7111389916,-281641064.1563549,0.04296921566128731,-0.011981440708041191,-3374465.7111389916
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.06523438,-0.06271432,-0.0025200546,-709750.8533000116,-281641064.1563549,0.06271432340145111,0.002520054578781128,709750.8533000116
2021-05-17 17:15:00,8015002.15342015,0.1985299289226532,0.08245179802179337,0.11607813090085983,930366.4691353777,281641064.1563549,0.082818374,0.084568635,-0.0017502606,-492945.2555429508,-273626062.00293475,-0.0021168366074562073,0.11782839149236679,1423311.7246783285
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.041102882,-0.043071717,0.0019688345,554504.6575812785,-281641064.1563549,0.04307171702384949,-0.001968834549188614,-554504.6575812785
2021-11-16 08:15:00,24409455.555030346,-0.17811119556427002,-0.11287558823823929,-0.06523560732603073,-1592365.657630159,281641064.1563549,-0.09951511,-0.092290744,-0.007224366,-2034678.1474831675,-257231608.60132456,-0.020584844052791595,-0.058011241257190704,442312.4898530084
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.027460622,-0.048499186,0.021038564,5925323.531326986,-281641064.1563549,0.04849918559193611,-0.021038563922047615,-5925323.531326986
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,0.018710665,0.00045287155,0.018257793,5142144.260673961,-281641064.1563549,-0.0004528715508058667,-0.01825779303908348,-5142144.260673961
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.025104212,-0.04225543,0.01715122,4830487.787690272,-281641064.1563549,0.04225543141365051,-0.01715121977031231,-4830487.787690272
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,-0.03392289,-0.031802576,-0.0021203123,-597167.0134465399,-281641064.1563549,0.031802576035261154,0.0021203123033046722,597167.0134465399
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,281641064.1563549,0.017381683,0.022335606,-0.0049539227,-1395228.0620640742,-281641064.1563549,-0.022335605695843697,0.00495392270386219,1395228.0620640742
