midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,321168952.4502603,0.21304351091384888,-0.050697773694992065,0.26374128460884094,84705512.0957074,725151582.7777017,0.09347411,-0.043144304,0.13661842,99069063.84888116,-403982630.32744145,-0.007553469389677048,0.12712286412715912,-14363551.753173754
2019-02-15 21:45:00,349083727.84057105,0.6815597414970398,0.02051691710948944,0.6610428094863892,230759288.19771314,725151582.7777017,0.3260229,0.043690223,0.28233266,204733974.37523457,-376067854.9371307,-0.02317330613732338,0.37871015071868896,26025313.822478563
2019-05-18 05:15:00,348784941.4499197,0.7701282501220703,-0.000829744734801352,0.7709580063819885,268898543.11628866,725151582.7777017,0.3324227,0.022457162,0.30996555,224772009.84133875,-376366641.32778203,-0.023286907002329826,0.4609924554824829,44126533.27494991
2019-08-17 12:45:00,322089012.50948274,0.5019880533218384,0.00815383531153202,0.4938342273235321,159058578.6220199,725151582.7777017,0.20846847,0.034747127,0.17372134,125974307.04095183,-403062570.268219,-0.026593292132019997,0.3201128840446472,33084271.581068054
2019-11-16 20:15:00,287076306.59822,0.44040483236312866,0.00738512584939599,0.4330196976661682,124309695.49028143,725151582.7777017,0.17387259,0.039556067,0.13431652,97399836.27554101,-438075276.17948174,-0.032170940190553665,0.2987031936645508,26909859.214740425
2020-02-16 03:45:00,332231036.2977816,0.5064689517021179,0.014796794392168522,0.491672158241272,163348750.65126464,725151582.7777017,0.21940324,0.04718118,0.17222205,124887090.72847244,-392920546.47992015,-0.03238438814878464,0.31945011019706726,38461659.922792196
2020-05-17 11:15:00,304335188.48731196,0.5297605991363525,-0.011444476433098316,0.5412050485610962,164707740.46412602,725151582.7777017,0.19478187,0.02662278,0.1681591,121940835.66207513,-420816394.2903898,-0.038067255169153214,0.373045951128006,42766904.80205089
2020-08-16 18:45:00,354294781.4225091,0.5526081919670105,0.040351931005716324,0.5122562646865845,181489721.3294444,725151582.7777017,0.2679084,0.06737463,0.20053376,145417375.331046,-370856801.35519266,-0.027022700756788254,0.3117225170135498,36072345.99839842
2020-11-16 02:15:00,367372839.3939612,0.5535503625869751,0.054768409579992294,0.4987819492816925,183238940.9460701,725151582.7777017,0.29504868,0.082128406,0.21292028,154399476.8225278,-357778743.38374054,-0.027359995990991592,0.28586167097091675,28839464.12354231
2021-02-15 09:45:00,329773059.17739344,0.4867574870586395,0.003767254063859582,0.48299023509025574,159277167.37852207,725151582.7777017,0.22057544,0.018438531,0.2021369,146579895.8742806,-395378523.6003083,-0.01467127725481987,0.2808533310890198,12697271.504241467
2021-05-17 17:15:00,344117958.2911184,0.42776769399642944,0.006661038380116224,0.4211066663265228,144910366.23906228,725151582.7777017,0.1738318,0.05393469,0.11989711,86943580.71880117,-381033624.48658335,-0.047273650765419006,0.30120956897735596,57966785.52026111
2021-08-17 00:45:00,392046293.5221853,0.43817460536956787,0.06241267919540405,0.3757619261741638,147316070.40333796,725151582.7777017,0.1864075,0.12552579,0.06088172,44148474.890136786,-333105289.2555164,-0.06311310827732086,0.3148801922798157,103167595.51320118
2021-11-16 08:15:00,333294224.06603986,0.38844314217567444,0.0023961428087204695,0.38604700565338135,128667237.20226184,725151582.7777017,0.13268219,0.06611101,0.066571176,48274193.68154864,-391857358.7116619,-0.06371486932039261,0.31947582960128784,80393043.5207132
2022-02-15 15:45:00,272480509.59712327,0.36774343252182007,0.019205942749977112,0.34853750467300415,94969676.8870099,725151582.7777017,0.11279937,0.080453016,0.032346353,23456009.027783457,-452671073.1805785,-0.061247073113918304,0.3161911368370056,71513667.85922645
2022-05-17 23:15:00,191598149.00493717,0.30536097288131714,0.009220539592206478,0.2961404323577881,56739958.685274,725151582.7777017,0.063684046,0.037685495,0.025998551,18852890.69656109,-533553433.77276456,-0.02846495434641838,0.2701418697834015,37887067.98871291
2022-08-17 06:45:00,389002300.6253242,0.5322439074516296,0.02736721560359001,0.5048766732215881,196398187.41525778,725151582.7777017,0.23925194,0.07820164,0.1610503,116785883.41113733,-336149282.15237755,-0.05083442106842995,0.3438263535499573,79612304.00412045
2022-11-16 14:15:00,420862416.70288986,0.6203621029853821,0.0337916798889637,0.5865704417228699,246865453.66996863,725151582.7777017,0.28843847,0.0999771,0.18846136,136663055.90073797,-304289166.0748119,-0.06618541479110718,0.3981090784072876,110202397.76923066
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,725151582.7777017,0.08679269,-0.011165532,0.09795822,71034559.75229943,-725151582.7777017,0.011165532283484936,-0.09795822203159332,-71034559.75229943
