midcyc_datetime,evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area,static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.26142558,0.27138183,-0.009956241,-660682.3798679506,-66358618.963581085,-0.27138182520866394,0.0099562406539917,660682.3798679506
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,-0.022848161,-0.054614257,0.031766094,2107954.1454494917,-66358618.963581085,0.05461425706744194,-0.03176609426736832,-2107954.1454494917
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.040123112,0.022398682,0.01772443,1176168.7092276968,-66358618.963581085,-0.022398682311177254,-0.017724430188536644,-1176168.7092276968
2019-08-17 12:45:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.10478035,0.08350586,0.021274492,1411745.917866192,-66358618.963581085,-0.08350586146116257,-0.021274492144584656,-1411745.917866192
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,-0.048148733,-0.003848877,-0.044299856,-2939677.2530507557,-66358618.963581085,0.0038488770369440317,0.04429985582828522,2939677.2530507557
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,-0.08869509,-0.100133054,0.011437967,759007.7217167056,-66358618.963581085,0.10013305395841599,-0.011437967419624329,-759007.7217167056
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.03059062,0.077618405,-0.047027785,-3120698.887481635,-66358618.963581085,-0.07761840522289276,0.04702778533101082,3120698.887481635
2020-08-16 18:45:00,23714151.053124905,-0.35925015807151794,-0.09705314040184021,-0.26219701766967773,-6217779.682697598,66358618.963581085,-0.21081042,-0.113251954,-0.09755847,-6473845.24318704,-42644467.91045618,0.016198813915252686,-0.16463854908943176,256065.5604894422
2020-11-16 02:15:00,5642842.125775576,-0.2554422914981842,0.0996207520365715,-0.3550630509853363,-2003564.7414064568,66358618.963581085,0.013314669,0.12112793,-0.10781326,-7154339.1357375,-60715776.83780551,-0.021507181227207184,-0.2472497820854187,5150774.394331044
2021-02-15 09:45:00,9610544.963931322,-0.2489149272441864,-0.06564072519540787,-0.18327420949935913,-1761365.03112256,66358618.963581085,-0.13760026,-0.07284546,-0.0647548,-4297039.033459666,-56748073.99964976,0.007204733788967133,-0.11851941049098969,2535674.0023371065
2021-05-17 17:15:00,3959462.751308441,-0.1989593505859375,-0.053381968289613724,-0.14557738602161407,-576408.2373854311,66358618.963581085,-0.09858678,-0.04766968,-0.050917104,-3378788.695540249,-62399156.212272644,-0.005712289363145828,-0.09466028213500977,2802380.458154818
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,-0.013099546,-0.017020263,0.003920717,260173.3764078508,-66358618.963581085,0.01702026277780533,-0.003920717164874077,-260173.3764078508
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.09651759,0.13870361,-0.04218602,-2799406.1465346813,-66358618.963581085,-0.1387036144733429,0.04218602180480957,2799406.1465346813
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.07484111,0.121536866,-0.046695754,-3098665.7423906787,-66358618.963581085,-0.12153686583042145,0.04669575393199921,3098665.7423906787
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,0.064559184,0.07562988,-0.0110706985,-734636.2634009251,-66358618.963581085,-0.07562988251447678,0.011070698499679565,734636.2634009251
2022-08-17 06:45:00,7481067.52624023,0.22552490234375,0.14868785440921783,0.07683704793453217,574823.1441151925,66358618.963581085,0.14822638,0.14966431,-0.0014379323,-95419.19846456718,-58877551.437340856,-0.0009764581918716431,0.07827498018741608,670242.3425797597
2022-11-16 14:15:00,66018803.17805636,-0.2529296875,-0.19776631891727448,-0.055163368582725525,-3641819.573101534,66358618.963581085,-0.1916474,-0.19675416,0.005106762,338877.6771186279,-339815.7855247259,-0.001012161374092102,-0.06027013063430786,-3980697.250220162
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,66358618.963581085,-0.06351158,-0.018950196,-0.044561386,-2957032.041256227,-66358618.963581085,0.018950195983052254,0.04456138610839844,2957032.041256227
