mid_pt_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),date,mid_pt_datetime_CS2,stationary_outline_area (m^2)_CS2,stationary_outline_dh (m)_CS2,stationary_outline_region_dh (m)_CS2,stationary_outline_dh_corr (m)_CS2,stationary_outline_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,171436719.75310096,0.06,-0.01,0.07,12000570.0,2019-01-01,2019-01-01 00:00:00,171436719.75310096,0.06,-0.01,0.07,12000570.0,WT
2019-04-02 13:30:00,171436719.75310096,0.16,0.14,0.02,3428734.0,2019-04-02,2019-04-02 06:00:00,171436719.75310096,0.02,0.01,0.01,1714367.0,WT
2019-07-02 21:00:00,171436719.75310096,0.21,0.1,0.11,18858039.0,2019-07-02,2019-07-02 12:00:00,171436719.75310096,0.03,0.02,0.01,1714367.0,WT
2019-10-02 04:30:00,171436719.75310096,0.23,0.13,0.1,17143672.0,2019-10-02,2019-10-01 18:00:00,171436719.75310096,0.08,0.01,0.07,12000570.0,WT
2020-01-01 12:00:00,171436719.75310096,-0.19,-0.25,0.06,10286203.0,2020-01-01,2020-01-01 00:00:00,171436719.75310096,0.12,-0.0,0.12,20572406.0,WT
2020-04-01 19:30:00,171436719.75310096,0.18,0.03,0.15,25715508.0,2020-04-01,2020-04-01 12:00:00,171436719.75310096,0.11,-0.02,0.13,22286774.0,WT
2020-07-02 03:00:00,171436719.75310096,0.22,0.12,0.1,17143672.0,2020-07-02,2020-07-02 00:00:00,171436719.75310096,0.1,-0.02,0.12,20572406.0,WT
2020-10-01 10:30:00,171436719.75310096,0.04,-0.03,0.07,12000570.0,2020-10-01,2020-10-01 12:00:00,171436719.75310096,0.09,-0.03,0.12,20572406.0,WT
2020-12-31 18:00:00,171436719.75310096,-0.0,-0.18,0.18,30858610.0,2020-12-31,2021-01-01 00:00:00,171436719.75310096,0.06,-0.03,0.09,15429305.0,WT
2021-04-02 01:30:00,171436719.75310096,0.19,0.07,0.12,20572406.0,2021-04-02,2021-04-02 06:00:00,171436719.75310096,0.01,-0.01,0.02,3428734.0,WT
2021-07-02 09:00:00,171436719.75310096,-0.02,-0.18,0.16,27429875.0,2021-07-02,2021-07-02 12:00:00,171436719.75310096,0.01,-0.01,0.02,3428734.0,WT
