midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dvol_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2019-02-15 21:45:00,194599586.9416269,-0.0692429,-0.042406786,-0.026836116,-5222297.062816281,176134897.95850182,-0.06220177,-0.050582886,-0.011618882,-2046490.6690296922,18464688.98312509,0.0081760995,-0.015217233,-3175806.3937865887
2019-05-18 05:15:00,194599586.9416269,-0.016704828,-0.018137889,0.0014330614,278873.1634722884,176134897.95850182,-0.012610521,-0.021192933,0.008582411,1511662.144537637,18464688.98312509,0.0030550435,-0.00714935,-1232788.9810653487
2019-08-17 12:45:00,194599586.9416269,0.05916814,0.028585898,0.030582244,5951291.967763505,176134897.95850182,0.058952652,0.033407085,0.025545567,4499465.8851145245,18464688.98312509,-0.004821187,0.0050366763,1451826.0826489804
2019-11-16 20:15:00,194599586.9416269,-0.038471945,-0.011476809,-0.026995135,-5253242.212133604,176134897.95850182,-0.029178824,-0.022640992,-0.0065378323,-1151540.4285065802,18464688.98312509,0.011164183,-0.020457303,-4101701.783627024
2020-02-16 03:45:00,194599586.9416269,-0.039779086,-0.028726663,-0.011052422,-2150796.7997819525,176134897.95850182,-0.038551558,-0.03056132,-0.007990237,-1407359.6359788107,18464688.98312509,0.001834657,-0.003062185,-743437.1638031418
2020-05-17 11:15:00,194599586.9416269,-0.004436431,-0.022300376,0.017863944,3476316.157186682,176134897.95850182,-0.007723323,-0.016804505,0.009081182,1599513.0772554947,18464688.98312509,-0.0054958705,0.008782762,1876803.0799311872
2020-08-16 18:45:00,194599586.9416269,0.10456576,0.07173225,0.03283351,6389387.317882867,176134897.95850182,0.09507852,0.08378855,0.011289969,1988557.5530312152,18464688.98312509,-0.012056299,0.02154354,4400829.764851651
2020-11-16 02:15:00,194599586.9416269,0.026444389,0.02006627,0.006378118,1241179.1182957205,176134897.95850182,0.028772412,0.016293336,0.012479076,2198000.8064068304,18464688.98312509,0.003772935,-0.006100958,-956821.6881111099
2021-02-15 09:45:00,194599586.9416269,-0.055455223,-0.05318032,-0.0022749044,-442695.4565931432,176134897.95850182,-0.053338148,-0.056771852,0.0034337044,604795.1699252947,18464688.98312509,0.0035915338,-0.005708609,-1047490.6265184379
2021-05-17 17:15:00,194599586.9416269,-0.011900206,-0.00072967255,-0.0111705335,-2173781.2022368987,176134897.95850182,-0.02114448,0.008422852,-0.029567331,-5207838.841918082,18464688.98312509,-0.009152524,0.018396799,3034057.6396811833
2021-08-17 00:45:00,194599586.9416269,-0.040351495,0.013691121,-0.054042615,-10516670.555551283,176134897.95850182,-0.039978027,0.007872518,-0.047850545,-8428150.948152315,18464688.98312509,0.0058186026,-0.0061920695,-2088519.6073989682
2021-11-16 08:15:00,194599586.9416269,-0.054723132,-0.028818492,-0.02590464,-5041032.35194861,176134897.95850182,-0.054789834,-0.033329774,-0.02146006,-3779865.4836064647,18464688.98312509,0.004511282,-0.0044445805,-1261166.8683421449
2022-02-15 15:45:00,194599586.9416269,-0.00850962,0.0031028953,-0.011612516,-2259790.7968234112,176134897.95850182,-0.008637754,0.00073191326,-0.009369668,-1650325.4500598602,18464688.98312509,0.002370982,-0.0022428483,-609465.346763551
2022-05-17 23:15:00,194599586.9416269,0.010022302,-0.007669535,0.017691838,3442824.293813351,176134897.95850182,0.002999494,0.0024027505,0.00059674354,105107.36300103655,18464688.98312509,-0.010072285,0.017095095,3337716.9308123146
2022-08-17 06:45:00,194599586.9416269,0.052691486,0.030601157,0.022090329,4298768.871035799,176134897.95850182,0.048907798,0.038833108,0.01007469,1774504.4923520242,18464688.98312509,-0.008231951,0.012015639,2524264.378683775
2022-11-16 14:15:00,194599586.9416269,-0.049069628,-0.02466975,-0.024399878,-4748206.269194803,176134897.95850182,-0.04842902,-0.028351847,-0.020077173,-3536290.758959944,18464688.98312509,0.0036820974,-0.004322706,-1211915.5102348593
2023-02-15 21:45:00,194599586.9416269,-0.09301098,-0.091506,-0.00150498,-292868.4917410756,176134897.95850182,-0.090026125,-0.09728241,0.0072562844,1278084.9046225846,18464688.98312509,0.005776413,-0.008761264,-1570953.3963636602
2023-05-18 05:15:00,194599586.9416269,0.026991066,0.015857594,0.0111334715,2166568.955876323,176134897.95850182,0.028341876,0.016421,0.011920877,2099682.418922463,18464688.98312509,-0.00056340545,-0.0007874053,66886.53695385996
2023-08-17 12:45:00,194599586.9416269,0.030034576,0.03046919,-0.00043461472,-84575.84459383728,176134897.95850182,0.027531972,0.033209737,-0.0056777652,-1000052.6003527457,18464688.98312509,-0.002740547,0.0052431505,915476.7557589085
2023-11-16 20:15:00,194599586.9416269,0.0044235643,0.011738545,-0.007314981,-1423492.2735708777,176134897.95850182,0.0042384714,0.010394796,-0.0061563244,-1084343.5715695643,18464688.98312509,0.0013437495,-0.0011586566,-339148.70200131345
