midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area (m^2),static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2010-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0105094029537747,-0.0161598850683667,0.005650482114592,1130096.4229184054,-200000000.0,0.0161598850683667,-0.005650482114592,-1130096.4229184054
2010-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0088925178632798,-0.0128076034670319,0.003915085603752,783017.1207504133,-200000000.0,0.0128076034670319,-0.003915085603752,-783017.1207504133
2011-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0184042820462259,-0.0102416588274549,-0.008162623218771,-1632524.6437542094,-200000000.0,0.0102416588274549,0.008162623218771,1632524.6437542094
2011-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0669507106918436,-0.0533687400480049,-0.0135819706438387,-2716394.12876775,-200000000.0,0.0533687400480049,0.0135819706438387,2716394.12876775
2011-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.1938476553605298,-0.1282305631641419,-0.0656170921963879,-13123418.439277578,-200000000.0,0.1282305631641419,0.0656170921963879,13123418.439277578
2011-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.3160653736628016,-0.1883518129368755,-0.127713560725926,-25542712.14518521,-200000000.0,0.1883518129368755,0.127713560725926,25542712.14518521
2012-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.3047991794767173,-0.2285407766475752,-0.0762584028291421,-15251680.56582843,-200000000.0,0.2285407766475752,0.0762584028291421,15251680.56582843
2012-05-16 23:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.2237205633640576,-0.2154065924239944,-0.0083139709400632,-1662794.1880126507,-200000000.0,0.2154065924239944,0.0083139709400632,1662794.1880126507
2012-08-16 06:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.141495934989956,-0.1705327128934856,0.0290367779035295,5807355.580705914,-200000000.0,0.1705327128934856,-0.0290367779035295,-5807355.580705914
2012-11-15 23:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0458105363480018,-0.10904741957969,0.0632368832316881,12647376.646337638,-200000000.0,0.10904741957969,-0.0632368832316881,-12647376.646337638
2013-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0151837969678972,-0.0551133069826631,0.0702971039505604,14059420.790112084,-200000000.0,0.0551133069826631,-0.0702971039505604,-14059420.790112084
2013-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,0.046750546173213,-0.0251648837199165,0.0719154298931295,14383085.978625912,-200000000.0,0.0251648837199165,-0.0719154298931295,-14383085.978625912
2013-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,0.0264886209939273,-0.0133859166975033,0.0398745376914307,7974907.538286143,-200000000.0,0.0133859166975033,-0.0398745376914307,-7974907.538286143
2013-11-16 11:15:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0102822328333012,-0.0028737547263252,-0.007408478106976,-1481695.621395209,-200000000.0,0.0028737547263252,0.007408478106976,1481695.621395209
2014-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,200000000.0,-0.0458371814682993,0.000921615697377,-0.0467587971656763,-9351759.43313528,-200000000.0,-0.000921615697377,0.0467587971656763,9351759.43313528
