static_outline_dh (m),static_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),evolving_outlines_darea (m^2),evolving_outlines_dh (m),evolving_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),midcyc_datetime
0.377983746986248,-0.012713974398007808,0.3906977213842558,101500369.56851222,173257918.78974518,0.511411137048931,-0.012720834522498675,0.5241319715714298,90810014.5656318,2010-08-17 06:45:00
0.38062652135311736,-0.01250961461858738,0.39313613597170477,102133851.58860289,172085874.1134121,0.5172034800468043,-0.012516342138439097,0.5297198221852434,91157298.63594884,2010-11-16 11:15:00
0.37389988006996594,-0.01063237094310313,0.3845322510130691,99898626.1055047,165957126.61769137,0.5192995266645435,-0.010638819896463298,0.5299383465610068,87947045.27979502,2011-02-15 15:45:00
0.35863085063865097,-0.008691068986892118,0.36732191962554306,95427509.68833879,154944151.37574118,0.5123113981944277,-0.008697088006551144,0.5210084862009788,80727217.75397022,2011-05-17 23:15:00
0.3347110919744867,-0.008225680370585927,0.3429367723450726,89092429.32958733,138870655.43764293,0.5008899081203791,-0.008231140195818193,0.5091210483161973,70701973.6767702,2011-08-17 06:45:00
0.3013928792790237,-0.007673738103391108,0.3090666173824148,80293214.34089433,117477847.4608626,0.4817660787758396,-0.00767844455194683,0.48944452332778643,57498889.052056305,2011-11-16 11:15:00
0.2572809640275729,-0.005142808276284459,0.26242377230385733,68175749.21612531,89990501.26380047,0.45475458370242194,-0.005146486491921127,0.45990107019434306,41386727.83854722,2012-02-15 15:45:00
0.2001650729690117,-0.004156451569317694,0.20432152453832939,53081216.28650479,54092075.923806675,0.41768058468219693,-0.0041588897025322275,0.4218394743847292,22818172.876077473,2012-05-16 23:15:00
0.12668701260603724,-0.006296214822431232,0.13298322742846846,34548055.930758215,10126438.57694685,0.36357963914439323,-0.006297195581519415,0.36987683472591265,3745535.0478874766,2012-08-16 06:45:00
0.031759519857915725,-0.00886498009109733,0.04062449994901306,10553943.708070457,0.0,0.36357963914439323,-0.006297195581519415,0.36987683472591265,0.0,2012-11-15 23:15:00
-0.09245473431843525,-0.009605256483019561,-0.08284947783541569,-21523679.710899454,0.0,0.36357963914439323,-0.006297195581519415,0.36987683472591265,0.0,2013-02-15 15:45:00
-0.25845477808611683,-0.011548283505823433,-0.2469064945802934,-64144475.58069516,116311048.46456519,-0.4619129980038065,-0.011542389993833318,-0.45037060800997314,-52383077.61526368,2013-05-17 23:15:00
-0.48738177480125155,-0.014883613051872144,-0.4724981617493794,-122751517.12706481,223110146.72068125,-0.6735447769778702,-0.01487489281969288,-0.6586698841581773,-146955934.49502507,2013-08-17 06:45:00
-0.8172435383142284,-0.017467060690387663,-0.7997764776238407,-207775995.6300939,237250005.7849845,-1.0588943656207142,-0.017456861398621373,-1.0414375042220927,-247081053.9013913,2013-11-16 11:15:00
-1.3016048777571747,-0.016422906028040314,-1.2851819717291344,-333880741.9483277,224118038.85925114,-1.7031497302357654,-0.016412516540898557,-1.6867372136948668,-378028236.40421116,2014-02-15 15:45:00
-1.9153431737945552,-0.014684470793851337,-1.9006587030007038,-493777030.73021984,232530124.06982604,-2.3193442404545914,-0.01467300536440625,-2.304671235090185,-535905488.2356799,2014-05-17 23:15:00
-2.1390634317880997,-0.015763358631160816,-2.1233000731569387,-551617606.9998525,254284581.53187382,-2.392419355124155,-0.015750553226064428,-2.3766688018980906,-604350231.7305158,2014-08-17 06:45:00
