midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2010-08-17 06:45:00,0.0,0.0,-0.01822278104409765,0.0,0.0,45498842.20012765,-0.07194308805524467,-0.05632320287152197,-0.015619885183722704,-710686.6911583111,-45498842.20012765,0.03810042182742432,0.015619885183722704,710686.6911583111
2010-11-16 11:15:00,0.0,0.0,0.019988030803312122,0.0,0.0,45498842.20012765,-0.0076530437133316,-0.031052433135434397,0.023399389422102797,1064645.1268955912,-45498842.20012765,0.05104046393874652,-0.023399389422102797,-1064645.1268955912
2011-02-15 15:45:00,0.0,0.0,0.08175526212319212,0.0,0.0,45498842.20012765,0.09171873221553269,0.03991819439101647,0.05180053782451621,2356864.4963594065,-45498842.20012765,0.041837067732175645,-0.05180053782451621,-2356864.4963594065
2011-05-17 23:15:00,0.0,0.0,0.06000705008183287,0.0,0.0,45498842.20012765,0.08005261415716455,0.05081657382984446,0.029236040327320093,1330205.9854093052,-45498842.20012765,0.009190476251988412,-0.029236040327320093,-1330205.9854093052
2011-08-17 06:45:00,0.0,0.0,0.10173078261129612,0.0,0.0,45498842.20012765,0.0964985155868299,0.0938398901751043,0.002658625411725596,120964.37807735227,-45498842.20012765,0.007890892436191815,-0.002658625411725596,-120964.37807735227
2011-11-16 11:15:00,0.0,0.0,0.06269660922446772,0.0,0.0,45498842.20012765,0.0731152584918075,0.06454987866558781,0.008565379826219688,389714.86509732634,-45498842.20012765,-0.0018532694411200895,-0.008565379826219688,-389714.86509732634
2012-02-15 15:45:00,0.0,0.0,0.05524859019879631,0.0,0.0,45498842.20012765,0.08960676998815668,0.051128005763821704,0.03847876422433498,1750739.2214989343,-45498842.20012765,0.0041205844349746085,-0.03847876422433498,-1750739.2214989343
2012-05-16 23:15:00,0.0,0.0,0.013736768542324503,0.0,0.0,45498842.20012765,0.058099360504766336,0.010828399319815673,0.047270961184950666,2150774.0036024293,-45498842.20012765,0.00290836922250883,-0.047270961184950666,-2150774.0036024293
2012-08-16 06:45:00,6703897.39744091,0.2480949494516551,0.0066346018394413545,0.24146034761221374,1618725.3959426973,45498842.20012765,0.12173536103052432,0.023622289534415586,0.09811307149610873,4464031.157771293,-38794944.802686736,-0.016987687694974232,0.143347276116105,-2845305.761828596
2012-11-15 23:15:00,31928722.464497924,0.3590375478159976,0.012266268627631515,0.3467712791883661,11071963.931864265,45498842.20012765,0.2835314074104291,0.0629384870225195,0.2205929203879096,10036722.47519482,-13570119.735629722,-0.05067221839488799,0.1261783588004565,1035241.4566694461
