midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2010-08-17 06:45:00,13234229.921193682,-0.23841174350060707,-0.10050482937829715,-0.13790691412230993,-1825091.8092169615,264209761.75608373,-0.03939893900499823,-0.10183369709195235,0.06243475808695412,16495872.559452869,-250975531.83489004,0.0013288677136552018,-0.20034167220926405,-18320964.36866983
2010-11-16 11:15:00,15191060.081440024,-0.2462682855409355,-0.09847789599065905,-0.14779038955027646,-2245092.687117676,264209761.75608373,-0.0430058739268183,-0.09785426178751934,0.05484838786070104,14491479.489381095,-249018701.6746437,-0.0006236342031397113,-0.2026387774109775,-16736572.17649877
2011-02-15 15:45:00,2477393.9413764477,-0.22882823012355402,-0.09180255733118399,-0.13702567279237005,-339466.5715888491,264209761.75608373,-0.06701242768498518,-0.05851285612761743,-0.008499571557367747,-2245669.776200918,-261732367.81470728,-0.03328970120356656,-0.1285261012350023,1906203.2046120688
2011-05-17 23:15:00,2843495.918012738,-0.22921331431083067,-0.08321727486850984,-0.1459960394423208,-415139.14220026595,264209761.75608373,-0.0991975498061986,-0.03579698802693635,-0.06340056177926226,-16751047.32290075,-261366265.838071,-0.04742028684157349,-0.08259547766305855,16335908.180700485
2011-08-17 06:45:00,0.0,0.0,-0.0814917205428819,0.0,0.0,264209761.75608373,-0.08263781810735032,-0.054399711911169484,-0.02823810619618084,-7460783.310535932,-264209761.75608373,-0.027092008631712412,0.02823810619618084,7460783.310535932
2011-11-16 11:15:00,0.0,0.0,-0.08187385788851903,0.0,0.0,264209761.75608373,-0.04023411452549966,-0.09578254621425804,0.05554843168875838,14676437.902410943,-264209761.75608373,0.013908688325739008,-0.05554843168875838,-14676437.902410943
2012-02-15 15:45:00,0.0,0.0,-0.04975483118655135,0.0,0.0,264209761.75608373,-0.03191496322672494,-0.07902724311922794,0.047112279892503,12447524.246184152,-264209761.75608373,0.029272411932676594,-0.047112279892503,-12447524.246184152
2012-05-16 23:15:00,0.0,0.0,-0.036340433063375505,0.0,0.0,264209761.75608373,-0.046726468967240496,-0.027412636660063557,-0.01931383230717694,-5102903.032476172,-264209761.75608373,-0.008927796403311948,0.01931383230717694,5102903.032476172
2012-08-16 06:45:00,0.0,0.0,-0.020372929696584892,0.0,0.0,264209761.75608373,-0.03176614850932211,0.006419739051932642,-0.03818588756125475,-10089084.255003719,-264209761.75608373,-0.026792668748517535,0.03818588756125475,10089084.255003719
2012-11-15 23:15:00,0.0,0.0,0.002121645312282424,0.0,0.0,264209761.75608373,-0.002188123176228491,0.031679887766579776,-0.033868010942808266,-8948259.102351809,-264209761.75608373,-0.02955824245429735,0.033868010942808266,8948259.102351809
2013-02-15 15:45:00,0.0,0.0,-0.00402608922142404,0.0,0.0,264209761.75608373,-0.013109541649083093,0.040177592385606066,-0.05328713403468916,-14078980.987969724,-264209761.75608373,-0.04420368160703011,0.05328713403468916,14078980.987969724
2013-05-17 23:15:00,0.0,0.0,-0.021590251237196958,0.0,0.0,264209761.75608373,-0.004991375936773086,0.015103474019411773,-0.02009484995618486,-5309255.519447851,-264209761.75608373,-0.03669372525660873,0.02009484995618486,5309255.519447851
2013-08-17 06:45:00,0.0,0.0,-0.03628778853224855,0.0,0.0,264209761.75608373,0.012679801389660229,-0.024376070704998094,0.037055872094658326,9790523.137793588,-264209761.75608373,-0.011911717827250458,-0.037055872094658326,-9790523.137793588
2013-11-16 11:15:00,0.0,0.0,-0.053336482881560746,0.0,0.0,264209761.75608373,-0.004246499033651296,-0.047295148068004216,0.04304864903435292,11373873.305287648,-264209761.75608373,-0.00604133481355653,-0.04304864903435292,-11373873.305287648
2014-02-15 15:45:00,0.0,0.0,-0.006584959182859048,0.0,0.0,264209761.75608373,-0.03398949284409242,-0.002981654566700512,-0.031007838277391904,-8192573.563840888,-264209761.75608373,-0.003603304616158536,0.031007838277391904,8192573.563840888
2014-05-17 23:15:00,0.0,0.0,-0.009766257789358919,0.0,0.0,264209761.75608373,-0.06514792481165521,0.01933951728127536,-0.08448744209293058,-22322406.94675411,-264209761.75608373,-0.02910577507063428,0.08448744209293058,22322406.94675411
2014-08-17 06:45:00,0.0,0.0,-0.019221134583741303,0.0,0.0,264209761.75608373,-0.040396694062965186,0.0031717428273831828,-0.043568436890348367,-11511206.33088391,-264209761.75608373,-0.022392877411124487,0.043568436890348367,11511206.33088391
2014-11-16 11:15:00,0.0,0.0,-0.01384697454675681,0.0,0.0,264209761.75608373,0.006062109741667727,-0.019729938679937806,0.025792048421605533,6814510.968673773,-264209761.75608373,0.005882964133180997,-0.025792048421605533,-6814510.968673773
2015-02-15 15:45:00,0.0,0.0,-0.0218952733616055,0.0,0.0,264209761.75608373,0.0015865623015948345,-0.014271644847310925,0.01585820714890576,4189893.132691014,-264209761.75608373,-0.007623628514294574,-0.01585820714890576,-4189893.132691014
2015-05-17 23:15:00,0.0,0.0,-0.022394868087054244,0.0,0.0,264209761.75608373,-0.009315013609461117,0.00645181422473255,-0.015766827834193666,-4165749.825721498,-264209761.75608373,-0.028846682311786793,0.015766827834193666,4165749.825721498
