midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2010-08-17 06:45:00,0.0,0.0,-0.26775232374874897,0.0,0.0,335756460.2716114,-0.1981423312170989,-0.26775232374874897,0.06960999253165007,23372004.69196013,-335756460.2716114,0.0,-0.06960999253165007,-23372004.69196013
2010-11-16 11:15:00,0.0,0.0,-0.2704240542943401,0.0,0.0,335756460.2716114,-0.19300976974805656,-0.2704240542943401,0.07741428454628352,25992346.153719462,-335756460.2716114,0.0,-0.07741428454628352,-25992346.153719462
2011-02-15 15:45:00,0.0,0.0,-0.2705611388011946,0.0,0.0,335756460.2716114,-0.18214769290137203,-0.2705611388011946,0.08841344589982256,29685385.635740034,-335756460.2716114,0.0,-0.08841344589982256,-29685385.635740034
2011-05-17 23:15:00,0.0,0.0,-0.2597263961773118,0.0,0.0,335756460.2716114,-0.14744119967746436,-0.2597263961773118,0.11228519649984744,37700480.11769111,-335756460.2716114,0.0,-0.11228519649984744,-37700480.11769111
2011-08-17 06:45:00,0.0,0.0,-0.24072171238072898,0.0,0.0,335756460.2716114,-0.10163686433505913,-0.24072171238072898,0.13908484804566984,46698636.25722905,-335756460.2716114,0.0,-0.13908484804566984,-46698636.25722905
2011-11-16 11:15:00,0.0,0.0,-0.21121117146808163,0.0,0.0,335756460.2716114,-0.06288855465207314,-0.21121117146808163,0.1483226168160085,49800276.8003656,-335756460.2716114,0.0,-0.1483226168160085,-49800276.8003656
2012-02-15 15:45:00,0.0,0.0,-0.15193726373795555,0.0,0.0,335756460.2716114,-0.004137779738218061,-0.15193726373795555,0.1477994839997375,49624631.57772253,-335756460.2716114,0.0,-0.1477994839997375,-49624631.57772253
2012-05-16 23:15:00,0.0,0.0,-0.09669226947464016,0.0,0.0,335756460.2716114,0.05787573187424621,-0.09669226947464016,0.15456800134888637,51897205.00415974,-335756460.2716114,0.0,-0.15456800134888637,-51897205.00415974
2012-08-16 06:45:00,0.0,0.0,-0.05984177555475982,0.0,0.0,335756460.2716114,0.09402540837248072,-0.05984177555475982,0.15386718392724053,51661901.02737126,-335756460.2716114,0.0,-0.15386718392724053,-51661901.02737126
2012-11-15 23:15:00,0.0,0.0,-0.05000076570645333,0.0,0.0,335756460.2716114,0.0939844588434917,-0.05000076570645333,0.14398522454994503,48343969.32630266,-335756460.2716114,0.0,-0.14398522454994503,-48343969.32630266
2013-02-15 15:45:00,0.0,0.0,-0.04420061823256138,0.0,0.0,335756460.2716114,0.0789659427730679,-0.04420061823256138,0.12316656100562928,41353968.54707757,-335756460.2716114,0.0,-0.12316656100562928,-41353968.54707757
