midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2019-02-15 21:45:00,0.0,0.0,0.08505737036466599,0.0,0.0,106612600.63687801,0.15111766755580902,0.11242279410362244,0.038694873452186584,4125361.0900525018,-106612600.63687801,-0.02736542373895645,-0.038694873452186584,-4125361.0900525018
2019-05-18 05:15:00,0.0,0.0,0.3210192918777466,0.0,0.0,106612600.63687801,-0.5939750075340271,-0.12863832712173462,-0.4653366804122925,-49610753.67048627,-106612600.63687801,0.4496576189994812,0.4653366804122925,49610753.67048627
2019-08-17 12:45:00,118935115.59268919,-3.6209425926208496,-0.8060027956962585,-2.814939796924591,-334795190.13368726,106612600.63687801,-0.6116799712181091,-0.5695975422859192,-0.04208242893218994,-4486517.189577367,12322514.955811173,-0.23640525341033936,-2.772857367992401,-330308672.9441099
2019-11-16 20:15:00,68473429.28606158,-2.315484046936035,-0.510878324508667,-1.8046057224273682,-123567542.32385248,106612600.63687801,-0.2923416495323181,-0.437985897064209,0.14564424753189087,15527511.997176088,-38139171.35081643,-0.07289242744445801,-1.950249969959259,-139095054.32102856
2020-02-16 03:45:00,0.0,0.0,-0.04620117321610451,0.0,0.0,106612600.63687801,-0.015443091280758381,0.014317103661596775,-0.029760194942355156,-3172811.7782649472,-106612600.63687801,-0.06051827687770128,0.029760194942355156,3172811.7782649472
2020-05-17 11:15:00,0.0,0.0,-0.07888549566268921,0.0,0.0,106612600.63687801,-0.006480497308075428,0.007755428086966276,-0.014235925395041704,-1517729.0288379712,-106612600.63687801,-0.08664092374965549,0.014235925395041704,1517729.0288379712
2020-08-16 18:45:00,0.0,0.0,-0.03668273985385895,0.0,0.0,106612600.63687801,0.02599319815635681,0.019251439720392227,0.006741758435964584,718756.3997237956,-106612600.63687801,-0.055934179574251175,-0.006741758435964584,-718756.3997237956
2020-11-16 02:15:00,0.0,0.0,-0.08612792938947678,0.0,0.0,106612600.63687801,-0.03911755234003067,-0.05008449777960777,0.010966945439577103,1169214.5743560642,-106612600.63687801,-0.036043431609869,-0.010966945439577103,-1169214.5743560642
2021-02-15 09:45:00,0.0,0.0,0.04216919094324112,0.0,0.0,106612600.63687801,0.08760040998458862,0.07044170796871185,0.01715870201587677,1829333.8454658638,-106612600.63687801,-0.028272517025470734,-0.01715870201587677,-1829333.8454658638
2021-05-17 17:15:00,0.0,0.0,0.0157470703125,0.0,0.0,106612600.63687801,0.08672736585140228,0.06738439947366714,0.019342966377735138,2062203.9495620353,-106612600.63687801,-0.051637329161167145,-0.019342966377735138,-2062203.9495620353
2021-08-17 00:45:00,0.0,0.0,-0.028289183974266052,0.0,0.0,106612600.63687801,0.03138703107833862,-0.01126851700246334,0.042655548080801964,4547618.912485688,-106612600.63687801,-0.01702066697180271,-0.042655548080801964,-4547618.912485688
2021-11-16 08:15:00,0.0,0.0,-0.07827575504779816,0.0,0.0,106612600.63687801,-0.09560977667570114,-0.09238899499177933,-0.003220781683921814,-343375.9114065278,-106612600.63687801,0.01411323994398117,0.003220781683921814,343375.9114065278
2022-02-15 15:45:00,0.0,0.0,-0.011012572795152664,0.0,0.0,106612600.63687801,0.009845808148384094,-0.021692052483558655,0.03153786063194275,3362333.3404948297,-106612600.63687801,0.01067947968840599,-0.03153786063194275,-3362333.3404948297
2022-05-17 23:15:00,0.0,0.0,0.024581298232078552,0.0,0.0,106612600.63687801,0.03111356869339943,0.018475420773029327,0.012638147920370102,1347385.8170242081,-106612600.63687801,0.006105877459049225,-0.012638147920370102,-1347385.8170242081
2022-08-17 06:45:00,0.0,0.0,0.017713012173771858,0.0,0.0,106612600.63687801,0.0703136995434761,0.04792765900492668,0.022386040538549423,2386633.9997773315,-106612600.63687801,-0.030214646831154823,-0.022386040538549423,-2386633.9997773315
2022-11-16 14:15:00,0.0,0.0,-0.10182251036167145,0.0,0.0,106612600.63687801,-0.1746532917022705,-0.10359647870063782,-0.07105681300163269,-7575551.627072387,-106612600.63687801,0.0017739683389663696,0.07105681300163269,7575551.627072387
2023-02-15 21:45:00,0.0,0.0,-0.04141418635845184,0.0,0.0,106612600.63687801,-0.27501004934310913,-0.034274809062480927,-0.2407352402806282,-25665410.031261485,-106612600.63687801,-0.007139377295970917,0.2407352402806282,25665410.031261485
2023-05-18 05:15:00,0.0,0.0,0.06518127769231796,0.0,0.0,106612600.63687801,0.06580128520727158,0.12250389903783798,-0.056702613830566406,-6045213.1233852925,-106612600.63687801,-0.05732262134552002,0.056702613830566406,6045213.1233852925
2023-08-17 12:45:00,0.0,0.0,0.04878173768520355,0.0,0.0,106612600.63687801,0.06631290167570114,0.10135561227798462,-0.03504271060228348,-3735994.5106749395,-106612600.63687801,-0.05257387459278107,0.03504271060228348,3735994.5106749395
2023-11-16 20:15:00,0.0,0.0,0.0038391114212572575,0.0,0.0,106612600.63687801,-0.10131297260522842,0.012481292709708214,-0.11379426531493664,-12131902.56278828,-106612600.63687801,-0.008642181288450956,0.11379426531493664,12131902.56278828
2024-02-16 03:45:00,0.0,0.0,-0.006654052529484034,0.0,0.0,106612600.63687801,-0.0033300062641501427,-0.018070369958877563,0.01474036369472742,1571508.5078283101,-106612600.63687801,0.01141631742939353,-0.01474036369472742,-1571508.5078283101
