midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2013-11-16 11:15:00,0.0,0.0,-0.08871642337561009,0.0,0.0,462143712.06030846,-0.10140087351349011,-0.07505049769732919,-0.026350375816160926,-12177660.49386479,-462143712.06030846,-0.013665925678280899,0.026350375816160926,12177660.49386479
2014-02-15 15:45:00,0.0,0.0,-0.059546597382185824,0.0,0.0,462143712.06030846,-0.06853023341266229,-0.06657494884730966,-0.0019552845653526274,-903622.46716629,-462143712.06030846,0.007028351465123837,0.0019552845653526274,903622.46716629
2014-05-17 23:15:00,0.0,0.0,-0.023804044819759503,0.0,0.0,462143712.06030846,-0.030760609060097758,-0.027510764640309077,-0.0032498444197886812,-1501895.1637796205,-462143712.06030846,0.0037067198205495734,0.0032498444197886812,1501895.1637796205
2014-08-17 06:45:00,0.0,0.0,0.020904571050827908,0.0,0.0,462143712.06030846,0.029401740343443478,0.02040034299753907,0.009001397345904407,4159939.183166071,-462143712.06030846,0.0005042280532888375,-0.009001397345904407,-4159939.183166071
2014-11-16 11:15:00,0.0,0.0,0.026867372364568546,0.0,0.0,462143712.06030846,0.01932290509760184,0.032231870573745394,-0.012908965476143553,-5965797.2240033485,-462143712.06030846,-0.005364498209176848,0.012908965476143553,5965797.2240033485
2015-02-15 15:45:00,17438933.663782597,0.3850297377254795,0.013841613164697585,0.37118812456078193,6473125.080999347,462143712.06030846,-0.0027737240857142694,0.01849201850273592,-0.021265742588450192,-9827829.219545364,-444704778.39652586,-0.004650405338038337,0.39245386714923214,16300954.300544713
2015-05-17 23:15:00,29461879.295936078,0.4090445393869539,0.019827463433768764,0.3892170759531851,11467066.511649923,462143712.06030846,0.0018186537862972358,0.01515309833492158,-0.013334444548624345,-6162429.701963599,-432681832.76437235,0.004674365098847184,0.4025515205018095,17629496.21361352
2015-08-17 06:45:00,13563936.38553226,0.35162353626975196,-0.017478477836645336,0.3691020141063973,5006476.239111004,462143712.06030846,-0.008625209876190882,-0.001749468670477892,-0.0068757412057129895,-3177580.5639742217,-448579775.6747762,-0.015729009166167443,0.3759777553121103,8184056.803085227
2015-11-16 11:15:00,0.0,0.0,-0.03382658929625825,0.0,0.0,462143712.06030846,-0.025068972603896435,-0.014164964777330665,-0.01090400782656577,-5039218.653303761,-462143712.06030846,-0.019661624518927584,0.01090400782656577,5039218.653303761
2016-02-15 15:45:00,8042083.328557491,0.37827993982447033,0.011665207024690977,0.36661473279977935,2948346.230652665,462143712.06030846,0.012758328961776618,0.032516243655703256,-0.01975791469392664,-9130996.03922217,-454101628.73175097,-0.02085103663101228,0.386372647493706,12079342.269874834
2016-05-16 23:15:00,24452024.50257635,0.407611096430801,0.06928242806843977,0.33832866836236125,8272820.888720485,462143712.06030846,0.09835331304120372,0.08383838957796291,0.014514923463240806,6707980.6095733745,-437691687.5577321,-0.014555961509523138,0.32381374489912046,1564840.2791471109
