midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dvol_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2019-02-15 21:45:00,175021177.38312432,0.029269626,0.023362411,0.005907215,1033887.755511271,180839664.08912694,0.022371706,0.010366058,0.012005648,2171097.287185822,-5818486.706002623,0.012996353,-0.0060984325,-1137209.5316745513
2019-05-18 05:15:00,175021177.38312432,0.036945526,0.0052630776,0.031682447,5545099.106136107,180839664.08912694,0.031207526,0.007777023,0.023430504,4237164.455586533,-5818486.706002623,-0.0025139456,0.008251943,1307934.6505495738
2019-08-17 12:45:00,175021177.38312432,0.041922797,0.025751615,0.016171182,2830299.2388389483,180839664.08912694,0.026376111,0.010663604,0.015712507,2841444.5003760424,-5818486.706002623,0.015088011,0.0004586745,-11145.261537094135
2019-11-16 20:15:00,175021177.38312432,0.004339672,-0.0020615428,0.0064012147,1120348.1419858653,180839664.08912694,4.283169e-06,-0.0037036897,0.0037079728,670548.5593738058,-5818486.706002623,0.0016421468,0.002693242,449799.58261205954
2020-02-16 03:45:00,175021177.38312432,0.04337892,0.026643854,0.016735066,2928990.907373088,180839664.08912694,0.040709734,0.015867615,0.024842119,4492440.427081643,-5818486.706002623,0.0107762385,-0.008107053,-1563449.5197085547
2020-05-17 11:15:00,175021177.38312432,0.010029021,-0.010542619,0.02057164,3600472.6117292433,180839664.08912694,-0.007728978,-0.012299729,0.0045707505,826572.9886056872,-5818486.706002623,0.0017571095,0.01600089,2773899.6231235564
2020-08-16 18:45:00,175021177.38312432,0.051538013,0.03254218,0.018995833,3324672.996100207,180839664.08912694,0.036587544,0.030983353,0.0056041908,1013459.973066834,-5818486.706002623,0.0015588272,0.013391642,2311213.023033373
2020-11-16 02:15:00,175021177.38312432,-0.081541516,-0.019431265,-0.062110253,-10870609.551335925,180839664.08912694,-0.05038827,0.0014263153,-0.051814586,-9370132.313440232,-5818486.706002623,-0.02085758,-0.010295667,-1500477.2378956936
2021-02-15 09:45:00,175021177.38312432,-0.1516066,-0.07025789,-0.08134872,-14237748.26516956,180839664.08912694,-0.12165377,-0.029498672,-0.0921551,-16665297.13190697,-5818486.706002623,-0.040759213,0.010806382,2427548.8667374086
2021-05-17 17:15:00,175021177.38312432,-0.09078071,-0.03798274,-0.052797973,-9240763.425201397,180839664.08912694,-0.070152596,-0.016753387,-0.05339921,-9656695.006089624,-5818486.706002623,-0.021229353,0.0006012358,415931.5808882266
2021-08-17 00:45:00,175021177.38312432,-0.08714076,-0.036006726,-0.051134035,-8949539.008520963,180839664.08912694,-0.07582101,-0.0124794,-0.06334161,-11454675.49943333,-5818486.706002623,-0.023527326,0.012207575,2505136.4909123667
2021-11-16 08:15:00,175021177.38312432,-0.111606054,-0.050907336,-0.060698718,-10623561.060701624,180839664.08912694,-0.08375701,-0.023827363,-0.05992965,-10837657.82505333,-5818486.706002623,-0.027079973,-0.00076906756,214096.76435170695
2022-02-15 15:45:00,175021177.38312432,-0.07070741,-0.022038912,-0.048668496,-8518017.525766864,180839664.08912694,-0.049939964,-0.005941391,-0.043998573,-7956687.157271752,-5818486.706002623,-0.016097521,-0.0046699233,-561330.3684951123
2022-05-17 23:15:00,175021177.38312432,-0.06939734,-0.048950195,-0.020447142,-3578682.940853741,180839664.08912694,-0.073687635,-0.03532486,-0.038362775,-6937511.3441559635,-5818486.706002623,-0.013625335,0.017915633,3358828.4033022225
2022-08-17 06:45:00,175021177.38312432,-0.0460216,-6.745991e-05,-0.045954138,-8042947.345482388,180839664.08912694,-0.031127572,0.010473251,-0.041600823,-7523078.929921973,-5818486.706002623,-0.010540712,-0.0043533146,-519868.415560415
2022-11-16 14:15:00,175021177.38312432,-0.0880047,-0.051597595,-0.036407106,-6372014.491542518,180839664.08912694,-0.07181982,-0.03139038,-0.04042944,-7311246.239623977,-5818486.706002623,-0.020207215,0.004022334,939231.7480814587
2023-02-15 21:45:00,175021177.38312432,-0.111098155,-0.06479484,-0.046303317,-8104061.04947265,180839664.08912694,-0.09901258,-0.05178337,-0.04722921,-8540914.793028053,-5818486.706002623,-0.013011467,0.0009258948,436853.7435554033
2023-05-18 05:15:00,175021177.38312432,-0.04021054,-0.008140163,-0.03207038,-5612995.614959411,180839664.08912694,-0.025975278,0.0056770323,-0.03165231,-5723992.92729424,-5818486.706002623,-0.013817195,-0.0004180707,110997.31233482901
2023-08-17 12:45:00,175021177.38312432,-0.027678717,-0.006459688,-0.02121903,-3713779.6174870175,180839664.08912694,-0.027233815,0.0024188994,-0.029652715,-5362386.970978961,-5818486.706002623,-0.008878587,0.008433685,1648607.3534919438
2023-11-16 20:15:00,175021177.38312432,-0.037672497,-0.008911133,-0.028761365,-5033847.881364928,180839664.08912694,-0.024702463,0.0033809661,-0.028083429,-5078597.819903207,-5818486.706002623,-0.012292099,-0.0006779358,44749.938538279384
