midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dvol_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2019-02-15 21:45:00,439852798.62457424,0.58573246,0.011489353,0.5742431,252582447.07355928,725151582.7777017,0.3410428,0.0528361,0.2882067,208993542.14158762,-285298784.1531275,-0.041346747,0.28603643,43588904.93197167
2019-05-18 05:15:00,439852798.62457424,0.6391426,0.015703792,0.6234388,274221290.19208205,725151582.7777017,0.3324435,0.05027582,0.28216767,204614334.76511517,-285298784.1531275,-0.034572028,0.3412711,69606955.42696688
2019-08-17 12:45:00,439852798.62457424,0.40428597,0.010941146,0.39334482,173013819.70167443,725151582.7777017,0.20564349,0.041003853,0.16463964,119388693.26727141,-285298784.1531275,-0.030062707,0.22870518,53625126.43440302
2019-11-16 20:15:00,439852798.62457424,0.32588458,0.018942459,0.30694214,135009357.13760018,725151582.7777017,0.18017955,0.053818766,0.12636079,91630726.10188326,-285298784.1531275,-0.03487631,0.18058135,43378631.03571692
2020-02-16 03:45:00,439852798.62457424,0.41316617,0.019477349,0.39368883,173165132.6744145,725151582.7777017,0.22024299,0.057048835,0.16319415,118340495.97864869,-285298784.1531275,-0.037571486,0.23049468,54824636.69576579
2020-05-17 11:15:00,439852798.62457424,0.39580688,-0.010249626,0.4060565,178605085.07477733,725151582.7777017,0.19175492,0.04046471,0.15129021,109708333.86340569,-285298784.1531275,-0.050714336,0.2547663,68896751.21137165
2020-08-16 18:45:00,439852798.62457424,0.4733333,0.06292757,0.41040573,180518106.81867322,725151582.7777017,0.27054533,0.077008925,0.1935364,140343227.3615815,-285298784.1531275,-0.014081359,0.21686932,40174879.45709172
2020-11-16 02:15:00,439852798.62457424,0.47887805,0.07258935,0.40628868,178707214.44934353,725151582.7777017,0.29317123,0.08787202,0.2052992,148873038.82770503,-285298784.1531275,-0.015282668,0.20098948,29834175.621638507
2021-02-15 09:45:00,439852798.62457424,0.3939741,0.031424228,0.36254987,159468575.49106276,725151582.7777017,0.22324547,0.029671224,0.19357425,140370673.58716887,-285298784.1531275,0.0017530043,0.16897562,19097901.903893888
2021-05-17 17:15:00,439852798.62457424,0.3627283,0.026609426,0.33611888,147842828.6899914,725151582.7777017,0.17180388,0.06487107,0.106932804,77542492.06308714,-285298784.1531275,-0.038261645,0.22918607,70300336.62690428
2021-08-17 00:45:00,439852798.62457424,0.41457695,0.07642854,0.33814842,148735526.72720847,725151582.7777017,0.19074222,0.14679159,0.043950632,31870870.514458828,-285298784.1531275,-0.07036305,0.2941978,116864656.21274963
2021-11-16 08:15:00,439852798.62457424,0.32526463,0.0077319653,0.31753266,139667628.5297796,725151582.7777017,0.12895843,0.081821404,0.04713703,34181491.5268941,-285298784.1531275,-0.07408944,0.27039564,105486137.00288552
2022-02-15 15:45:00,439852798.62457424,0.2838632,0.02734486,0.25651833,112830307.17452946,725151582.7777017,0.11314234,0.08940444,0.0237379,17213575.72715095,-285298784.1531275,-0.06205958,0.23278043,95616731.44737852
2022-05-17 23:15:00,439852798.62457424,0.1916844,0.026018891,0.1656655,72868437.02876171,725151582.7777017,0.0649956,0.05458461,0.010410991,7549546.287229675,-285298784.1531275,-0.02856572,0.15525451,65318890.74153204
2022-08-17 06:45:00,439852798.62457424,0.490169,0.031154722,0.45901427,201898709.82951352,725151582.7777017,0.23897351,0.089422464,0.14955105,108447179.79766656,-285298784.1531275,-0.058267742,0.3094632,93451530.03184696
2022-11-16 14:15:00,439852798.62457424,0.5813106,0.026179168,0.5551314,244176089.2453844,725151582.7777017,0.27368313,0.101708114,0.17197502,124707955.48131211,-285298784.1531275,-0.07552895,0.38315636,119468133.76407228
2023-02-15 21:45:00,439852798.62457424,0.33549428,-0.021003228,0.3564975,156806421.47945938,725151582.7777017,0.114868954,0.032396153,0.0824728,59805282.33245169,-285298784.1531275,-0.05339938,0.2740247,97001139.14700767
2023-05-18 05:15:00,439852798.62457424,0.24935201,0.09033885,0.15901315,69942379.97919571,725151582.7777017,0.12456451,0.11750633,0.007058181,5118251.028415177,-285298784.1531275,-0.027167484,0.15195498,64824128.95078054
2023-08-17 12:45:00,439852798.62457424,0.23588984,0.077051416,0.15883842,69865524.05273163,725151582.7777017,0.12765977,0.077893354,0.049766414,36088193.78516865,-285298784.1531275,-0.00084193796,0.10907201,33777330.267562985
2023-11-16 20:15:00,439852798.62457424,0.20263846,0.11404887,0.088589594,38966380.74792164,725151582.7777017,0.14059773,0.10953049,0.031067237,22528456.270138238,-285298784.1531275,0.004518375,0.057522357,16437924.4777834
