midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2014-02-15 12:45:00,462143712.06030846,-0.10140087351349011,-0.0758796626586045,-0.02552121085488561,-11794467.120750673
2014-05-17 23:15:00,462143712.06030846,-0.06853023341266229,-0.07229046739117628,0.0037602339785139938,1737768.4890457592
2014-08-17 06:45:00,462143712.06030846,-0.030760609060097758,-0.047493779719695095,0.016733170659597337,7733129.603164953
2014-11-16 14:15:00,462143712.06030846,0.029401740343443478,-0.003761170725215229,0.03316291106865871,15326030.823995825
2015-02-15 12:45:00,462143712.06030846,0.01932290509760184,0.01689597573409858,0.00242692936350326,1121590.1449575583
2015-05-17 23:15:00,462143712.06030846,-0.0027737240857142694,0.007403926060461076,-0.010177650146175346,-4703537.018604616
2015-08-17 06:45:00,462143712.06030846,0.0018186537862972358,0.0026553724888284383,-0.0008367187025312025,-386684.2871380549
2015-11-16 14:15:00,462143712.06030846,-0.008625209876190882,-0.01995406227743714,0.011328852401246259,5235557.902095285
2016-02-15 12:45:00,462143712.06030846,-0.025068972603896435,-0.03442676154189459,0.009357788937998157,4324643.31648336
2016-05-16 23:15:00,462143712.06030846,0.012758328961776618,0.006788052966793089,0.0059702759949835284,2759125.5103462394
2016-08-16 06:45:00,462143712.06030846,0.09835331304120372,0.06956903718160025,0.02878427585960347,13302472.094725074
2016-11-15 14:15:00,462143712.06030846,0.18007808533666073,0.10604775155369109,0.07403033378296964,34212653.25952525
2017-02-16 00:45:00,462143712.06030846,0.21856159451228832,0.11253338762060251,0.10602820689168581,49000269.11602206
2017-05-17 23:15:00,462143712.06030846,0.16702178411998084,0.11949690421511425,0.04752487990486659,21963324.414455406
2017-08-17 06:45:00,462143712.06030846,0.06570789969090138,0.09752225990439468,-0.031814360213493306,-14702806.525887584
2017-11-16 14:15:00,462143712.06030846,0.045569930138472624,0.07898504297342561,-0.033415112834952986,-15442584.28445923
2018-02-15 12:45:00,462143712.06030846,0.1046910419534344,0.07605402924343156,0.028637012710002838,13234415.356118945
2018-05-17 23:15:00,462143712.06030846,0.20756899714109808,0.06537356241392771,0.1421954347271704,65714726.04284382
2018-08-17 06:45:00,462143712.06030846,0.05594072365440073,0.0367031942230289,0.01923752943137183,8890503.262283612
2018-11-16 14:15:00,462143712.06030846,-0.31988413490757883,0.0016803279185901804,-0.321564462826169,-148608994.51716483
2019-02-15 12:45:00,462143712.06030846,-0.3644119463108338,-0.06419704459021672,-0.30021490172061704,-138742429.09698665
2019-05-18 05:15:00,462143712.06030846,-0.1736714392900467,-0.08698571473360062,-0.08668572455644608,-40061262.52915342
2019-08-17 12:45:00,462143712.06030846,-0.043614137917757034,-0.02358618937432766,-0.020027948543429375,-9255790.484813299
2019-11-16 20:15:00,462143712.06030846,0.07580983638763428,0.013774048537015915,0.06203578785061836,28669449.277870554
2020-02-16 03:45:00,462143712.06030846,-0.0066404580138623714,-0.08549358695745468,0.07885312894359231,36441477.7175619
2020-05-17 11:15:00,462143712.06030846,-0.11539760231971741,-0.0745384469628334,-0.040859155356884,-18882801.72827921
2020-08-16 18:45:00,462143712.06030846,-0.021483680233359337,-0.008369345217943192,-0.013114335015416145,-6060707.4652269
2020-11-16 02:15:00,462143712.06030846,0.0889957919716835,-0.027537744492292404,0.1165335364639759,53855241.12097714
2021-02-15 09:45:00,462143712.06030846,0.10765837132930756,0.09609945118427277,0.01155892014503479,5341882.263235057
2021-05-17 17:15:00,462143712.06030846,-0.024427270516753197,-0.05763063207268715,0.03320336155593395,15344724.762339856
2021-08-17 00:45:00,462143712.06030846,0.07564007490873337,0.004014069680124521,0.07162600522860885,33101507.936400354
2021-11-16 08:15:00,462143712.06030846,0.22976259887218475,0.0819626897573471,0.14779990911483765,68304798.6405073
2022-02-15 15:45:00,462143712.06030846,0.162571519613266,-0.023471109569072723,0.18604262918233871,85978431.25178549
2022-05-17 23:15:00,462143712.06030846,-0.5135172605514526,0.008967866189777851,-0.5224851267412305,-241463215.96849298
2022-08-17 06:45:00,462143712.06030846,0.032062921673059464,0.030689256265759468,0.0013736654072999954,634830.8304584554
2022-11-16 14:15:00,462143712.06030846,0.09892088919878006,0.10487385839223862,-0.005952969193458557,-2751127.2808455983
2023-02-15 21:45:00,462143712.06030846,-0.12607958912849426,-0.18682122230529785,0.06074163317680359,28071363.832933597
2023-05-18 05:15:00,462143712.06030846,0.09494442492723465,0.047311656177043915,0.047632768750190735,22013184.565923404
2023-08-17 12:45:00,462143712.06030846,0.21632416546344757,0.1343429535627365,0.08198121190071106,37887101.586997345
2023-11-16 20:15:00,462143712.06030846,0.076386958360672,0.00041662543662823737,0.07597033292404376,35109211.66397505
2024-02-16 03:45:00,462143712.06030846,0.026659712195396423,-0.031829431653022766,0.05848914384841919,27030390.0533378
2024-05-17 11:15:00,462143712.06030846,-0.055141299962997437,-0.11392118036746979,0.05877988040447235,27164752.124583837
2024-08-16 18:45:00,462143712.06030846,0.140297994017601,0.11870530992746353,0.02159268409013748,9978923.1787617
2024-11-16 02:15:00,462143712.06030846,-0.0049043623730540276,-0.036056987941265106,0.03115262556821108,14396990.020517943
