midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2019-02-15 21:45:00,521092638.64765763,-0.1533074527978897,-0.029818328097462654,-0.12348912470042706,-64349273.834435165,709642170.7221289,-0.10729433596134186,-0.006789146922528744,-0.10050518903881311,-71322720.51834126,-188549532.07447124,-0.02302918117493391,-0.02298393566161394,6973446.683906093
2019-05-18 05:15:00,521092638.64765763,-0.20302967727184296,0.006471643224358559,-0.20950132049620152,-109169595.89753425,709642170.7221289,-0.15061353147029877,0.04073740541934967,-0.19135093688964844,-135790694.22408321,-188549532.07447124,-0.03426576219499111,-0.018150383606553078,26621098.326548964
2019-08-17 12:45:00,521092638.64765763,0.5962395668029785,0.08213283121585846,0.5141067355871201,267897235.39362603,709642170.7221289,0.44196516275405884,0.04940791428089142,0.3925572484731674,278575177.93920463,-188549532.07447124,0.03272491693496704,0.12154948711395264,-10677942.545578599
2019-11-16 20:15:00,521092638.64765763,0.20740357041358948,-0.03867122530937195,0.24607479572296143,128227764.60796131,709642170.7221289,0.13289907574653625,-0.07073875516653061,0.20363783091306686,144509992.3702946,-188549532.07447124,0.03206752985715866,0.04243696480989456,-16282227.762333289
2020-02-16 03:45:00,521092638.64765763,0.04681149870157242,0.05423445254564285,-0.007422953844070435,-3868046.605166436,709642170.7221289,0.05265308544039726,0.04564672335982323,0.007006362080574036,4972009.99572377,-188549532.07447124,0.008587729185819626,-0.01442931592464447,-8840056.600890206
2020-05-17 11:15:00,521092638.64765763,-0.11563564836978912,-0.0036983767058700323,-0.11193727166391909,-58329688.25437128,709642170.7221289,-0.08102269470691681,-0.008677450008690357,-0.07234524469822645,-51339236.489073,-188549532.07447124,0.004979073302820325,-0.03959202696569264,-6990451.765298277
2020-08-16 18:45:00,521092638.64765763,-0.13571687042713165,0.016793513670563698,-0.15251038409769535,-79472038.47063583,709642170.7221289,-0.089540995657444,0.024756383150815964,-0.11429737880825996,-81110240.00534305,-188549532.07447124,-0.007962869480252266,-0.03821300528943539,1638201.5347072184
2020-11-16 02:15:00,521092638.64765763,-0.18298612534999847,-0.018036479130387306,-0.16494964621961117,-85954046.3925748,709642170.7221289,-0.12669679522514343,-0.003445105394348502,-0.12325168983079493,-87464596.71669585,-188549532.07447124,-0.014591373736038804,-0.04169795638881624,1510550.324121043
2021-02-15 09:45:00,521092638.64765763,-0.11747579276561737,-0.042664606124162674,-0.0748111866414547,-38983558.64735802,709642170.7221289,-0.09483689069747925,-0.025872504338622093,-0.06896438635885715,-48940036.838218965,-188549532.07447124,-0.01679210178554058,-0.005846800282597542,9956478.190860942
2021-05-17 17:15:00,521092638.64765763,-0.11921270191669464,0.002140800701454282,-0.12135350261814892,-63236416.888426654,709642170.7221289,-0.08115390688180923,0.01022857241332531,-0.09138247929513454,-64848860.97296927,-188549532.07447124,-0.008087771711871028,-0.02997102332301438,1612444.0845426172
2021-08-17 00:45:00,521092638.64765763,-0.16342085599899292,-0.011142159812152386,-0.15227869618684053,-79351307.60582574,709642170.7221289,-0.12099489569664001,0.00988544151186943,-0.13088033720850945,-92878206.60149086,-188549532.07447124,-0.021027601324021816,-0.02139835897833109,13526898.995665118
2021-11-16 08:15:00,521092638.64765763,-0.30251479148864746,-0.09158103913068771,-0.21093375235795975,-109916025.59606081,709642170.7221289,-0.23130397498607635,-0.07221955806016922,-0.15908441692590714,-112893010.95536491,-188549532.07447124,-0.019361481070518494,-0.05184933543205261,2976985.3593041003
2022-02-15 15:45:00,521092638.64765763,0.08230318129062653,-0.026676343753933907,0.10897952504456043,56788428.26403848,709642170.7221289,0.04706437885761261,-0.010964690707623959,0.05802906956523657,41179874.8912599,-188549532.07447124,-0.015711653046309948,0.050950455479323864,15608553.37277858
2022-05-17 23:15:00,521092638.64765763,0.4975992441177368,0.07013853639364243,0.4274607077240944,222746628.1061435,709642170.7221289,0.3642875552177429,0.042693596333265305,0.3215939588844776,228216635.07390377,-188549532.07447124,0.02744494006037712,0.10586674883961678,-5470006.967760265
2022-08-17 06:45:00,521092638.64765763,0.10531707108020782,0.018762854859232903,0.08655421622097492,45102764.916667715,709642170.7221289,0.07629089802503586,0.007049605716019869,0.06924129230901599,49136540.97777555,-188549532.07447124,0.011713249143213034,0.017312923911958933,-4033776.0611078367
2022-11-16 14:15:00,521092638.64765763,-0.1803746074438095,-0.08454637229442596,-0.09582823514938354,-49935387.91094048,709642170.7221289,-0.14842845499515533,-0.08331406861543655,-0.06511438637971878,-46207914.49574306,-188549532.07447124,-0.0012323036789894104,-0.030713848769664764,-3727473.4151974246
2023-02-15 21:45:00,521092638.64765763,-0.12435536831617355,-0.02662813477218151,-0.09772723354399204,-50924941.99517469,709642170.7221289,-0.09213503450155258,-0.016597867012023926,-0.07553716748952866,-53604359.50747014,-188549532.07447124,-0.010030267760157585,-0.022190066054463387,2679417.5122954473
2023-05-18 05:15:00,521092638.64765763,-0.09463916718959808,0.0058615864254534245,-0.10050075361505151,-52370202.88734531,709642170.7221289,-0.06899043172597885,0.026602493599057198,-0.09559292532503605,-67836771.03333695,-188549532.07447124,-0.020740907173603773,-0.004907828290015459,15466568.145991646
