midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2010-08-17 06:45:00,441446834.5343202,0.32213991503845146,0.01975107361344499,0.3023888414250065,133488596.84556963,186643988.03998804,0.48894796495215115,0.21774910329390426,0.2711988616582469,50617637.091800205,254802846.49433213,-0.19799802968045926,0.03118997976675958,82870959.75376943
2010-11-16 11:15:00,441446834.5343202,0.3350914178665797,0.015069396806439796,0.3200220210601399,141272708.1782743,186643988.03998804,0.5193586874510546,0.17873708602028918,0.3406216014307655,63574974.10360537,254802846.49433213,-0.1636676892138494,-0.020599580370625592,77697734.07466894
2011-02-15 15:45:00,441446834.5343202,0.3941841352085532,0.030208638535872183,0.36397549667268103,160675830.85421202,186643988.03998804,0.5911120349283073,0.21522765944365493,0.37588437548465237,70156558.88237584,254802846.49433213,-0.18501902090778274,-0.011908878811971335,90519271.97183618
2011-05-17 23:15:00,441446834.5343202,0.3897301132020991,0.07252743905597112,0.317202674146128,140028116.40762967,186643988.03998804,0.5151238047571561,0.26585875363595096,0.24926505112120517,46523823.22025323,254802846.49433213,-0.19333131457997985,0.06793762302492284,93504293.18737644
2011-08-17 06:45:00,441446834.5343202,0.2372267691089426,0.11183346695378278,0.1253933021551598,55354476.30820085,186643988.03998804,0.23719509480380796,0.2124001803738068,0.024794914430001147,4627821.712325661,254802846.49433213,-0.10056671342002403,0.10059838772515867,50726654.59587519
2011-11-16 11:15:00,441446834.5343202,0.05388941915065571,0.12301786165093657,-0.06912844250028086,-30516532.11803675,186643988.03998804,-0.051158663535552096,0.12180170508534088,-0.17296036862089298,-32282012.97226987,254802846.49433213,0.0012161565655956913,0.10383192612061212,1765480.8542331196
2012-02-15 15:45:00,441446834.5343202,-0.039127619058683456,0.12166456815195698,-0.16079218721064042,-70981202.06198701,186643988.03998804,-0.18370110899870792,0.07110578612978258,-0.25480689512849053,-47558175.08686847,254802846.49433213,0.0505587820221744,0.0940147079178501,-23423026.97511854
2012-05-16 23:15:00,441446834.5343202,-0.18660296799261855,0.11661786531826013,-0.3032208333108787,-133855877.02994613,186643988.03998804,-0.43906868873047833,0.009214374954952616,-0.44828306368543097,-83669338.77703278,254802846.49433213,0.10740349036330751,0.1450622303745523,-50186538.252913356
2012-08-16 06:45:00,441446834.5343202,-0.2675060854614568,0.10288748339450862,-0.3703935688559654,-163509068.50333568,186643988.03998804,-0.561768739941241,-0.025176123803427302,-0.5365926161378137,-100151785.828772,254802846.49433213,0.1280636071979359,0.1661990472818483,-63357282.67456369
2012-11-15 23:15:00,441446834.5343202,-0.20806940702557597,0.09534236459760619,-0.30341177162318217,-133940166.14350384,186643988.03998804,-0.4248629533667044,-0.004100913944397321,-0.42076203942230705,-78532705.05361806,254802846.49433213,0.09944327854200351,0.11735026779912489,-55407461.089885786
2013-02-15 15:45:00,441446834.5343202,-0.1179440306818818,0.09061236918030739,-0.2085563998621892,-92066562.54103735,186643988.03998804,-0.2529240666730704,0.008884346555121672,-0.26180841322819204,-48864966.34733092,254802846.49433213,0.08172802262518572,0.053252013366002826,-43201596.19370643
2013-05-17 23:15:00,441446834.5343202,0.015002921177780716,0.08961344985979117,-0.07461052868201046,-32936581.70960562,186643988.03998804,-0.011053441845994137,0.04581818915346822,-0.05687163099946235,-10614748.016078264,254802846.49433213,0.04379526070632295,-0.017738897682548105,-22321833.693527356
2013-08-17 06:45:00,441446834.5343202,0.14250040408172288,0.08130008394044899,0.061200320141273884,27016687.598852355,186643988.03998804,0.22815989237831055,0.06822349397346145,0.1599363984048491,29851167.23103342,254802846.49433213,0.013076589966987545,-0.09873607826357522,-2834479.6321810633
2013-11-16 11:15:00,441446834.5343202,0.21778569484736315,0.06373158570417728,0.15405410914318587,68006698.82826407,186643988.03998804,0.35135040277122903,0.10635504374185317,0.24499535902937586,45726910.860531405,254802846.49433213,-0.04262345803767589,-0.09094124988618998,22279787.967732668
2014-02-15 15:45:00,441446834.5343202,0.19244601690142848,0.06413926783244663,0.12830674906898187,56640608.22589138,186643988.03998804,0.28560175005749994,0.10021452022261704,0.1853872298348829,34601411.908068396,254802846.49433213,-0.03607525239017041,-0.057080480765901026,22039196.317822985
2014-05-17 23:15:00,441446834.5343202,0.14879980994125164,0.07995365499452459,0.06884615494672705,30391917.171091985,186643988.03998804,0.19160366532707437,0.09880140345295785,0.09280226187411653,17320984.255316444,254802846.49433213,-0.01884774845843326,-0.023956106927389476,13070932.915775541
2014-08-17 06:45:00,441446834.5343202,0.19716570335274147,0.08626235323389225,0.11090335011884922,48957932.84921741,186643988.03998804,0.2804955784164269,0.13556076920567608,0.14493480921075083,27051210.79690933,254802846.49433213,-0.04929841597178383,-0.03403145909190161,21906722.05230808
2014-11-16 11:15:00,441446834.5343202,0.2991969601548826,0.07393617740799574,0.22526078274688688,99440659.48833641,186643988.03998804,0.45644838310909974,0.16097954886186958,0.29546883424723014,55147481.56542923,254802846.49433213,-0.08704337145387384,-0.07020805150034326,44293177.92290718
2015-02-15 15:45:00,441446834.5343202,0.24938494464901834,0.08898519236454987,0.16039975228446846,70807962.90606768,186643988.03998804,0.34809369011825336,0.1638033291290288,0.18429036098922455,34396687.93235791,254802846.49433213,-0.07481813676447895,-0.023890608704756094,36411274.97370978
2015-05-17 23:15:00,441446834.5343202,0.24772055067687582,0.09800608024145151,0.1497144704354243,66090979.05770012,186643988.03998804,0.32248288194125774,0.1845469882842693,0.13793589365698844,25744905.286000013,254802846.49433213,-0.08654090804281779,0.011778576778435856,40346073.77170011
