midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2019-02-15 21:45:00,841481320.9209888,0.0320851132273674,0.0304271150380373,0.001657998189330101,1395174.506442101,1257869664.2202933,0.030449455603957176,0.01723850704729557,0.013210948556661606,16617651.424999502,-416388343.2993045,0.01318860799074173,-0.011552950367331505,-15222476.9185574
2019-05-18 05:15:00,841481320.9209888,-0.026856308802962303,0.014295072294771671,-0.041151381097733974,-34628118.5238442,1257869664.2202933,-0.009882035665214062,0.0164100993424654,-0.026292135007679462,-33072079.033744384,-416388343.2993045,-0.0021150270476937294,-0.014859246090054512,-1556039.4900998138
2019-08-17 12:45:00,841481320.9209888,-0.042682722210884094,0.011095007881522179,-0.05377773009240627,-45252955.35429044,1257869664.2202933,-0.025406278669834137,0.010383624583482742,-0.03578990325331688,-45019033.58772649,-416388343.2993045,0.0007113832980394363,-0.017987826839089394,-233921.76656395197
2019-11-16 20:15:00,841481320.9209888,-0.17756278812885284,-0.026107555255293846,-0.151455232873559,-127446749.4188384,1257869664.2202933,-0.12840180099010468,-0.02014555223286152,-0.10825624875724316,-136172251.27402198,-416388343.2993045,-0.005962003022432327,-0.04319898411631584,8725501.855183586
2020-02-16 03:45:00,841481320.9209888,-0.1638440638780594,-0.012435991317033768,-0.15140807256102562,-127407064.89675276,1257869664.2202933,-0.11424420028924942,-0.008123044855892658,-0.10612115543335676,-133486582.15162602,-416388343.2993045,-0.0043129464611411095,-0.04528691712766886,6079517.254873261
2020-05-17 11:15:00,841481320.9209888,-0.15106506645679474,-0.005174753721803427,-0.1458903127349913,-122763973.06981665,1257869664.2202933,-0.1008889228105545,0.0016815311973914504,-0.10257045400794595,-129020262.54189801,-416388343.2993045,-0.006856284919194877,-0.04331985872704536,6256289.472081363
2020-08-16 18:45:00,841481320.9209888,-0.15768256783485413,0.004642642103135586,-0.1623252099379897,-136593632.0773964,1257869664.2202933,-0.10408534109592438,0.012217414565384388,-0.11630275566130877,-146293708.21158528,-416388343.2993045,-0.007574772462248802,-0.046022454276680946,9700076.13418889
2020-11-16 02:15:00,841481320.9209888,-0.21741889417171478,-0.00947734247893095,-0.20794155169278383,-174978931.5928038,1257869664.2202933,-0.1488126814365387,-0.0015941571909934282,-0.14721852424554527,-185181715.65975112,-416388343.2993045,-0.007883185287937522,-0.060723027447238564,10202784.066947311
2021-02-15 09:45:00,841481320.9209888,-0.25013816356658936,-0.03472394496202469,-0.21541421860456467,-181267041.21653172,1257869664.2202933,-0.1801026165485382,-0.027144739404320717,-0.1529578771442175,-192401073.5632457,-416388343.2993045,-0.007579205557703972,-0.062456341460347176,11134032.34671399
2021-05-17 17:15:00,841481320.9209888,-0.23523551225662231,-0.005795459263026714,-0.2294400529935956,-193069518.8652325,1257869664.2202933,-0.15917478501796722,0.004658831283450127,-0.16383361630141735,-206081335.9250602,-416388343.2993045,-0.010454290546476841,-0.06560643669217825,13011817.059827715
2021-08-17 00:45:00,841481320.9209888,-0.18014174699783325,-0.0025553021114319563,-0.1775864448864013,-149435676.22067133,1257869664.2202933,-0.12183275073766708,0.009332503192126751,-0.13116525392979383,-164988793.91803926,-416388343.2993045,-0.011887805303558707,-0.04642119095660746,15553117.697367936
2021-11-16 08:15:00,841481320.9209888,-0.15889930725097656,-0.03454216197133064,-0.12435714527964592,-104644214.87587975,1257869664.2202933,-0.11876905709505081,-0.025459714233875275,-0.09330934286117554,-117370991.7734031,-416388343.2993045,-0.009082447737455368,-0.031047802418470383,12726776.897523344
2022-02-15 15:45:00,841481320.9209888,-0.14018180966377258,-0.014182187616825104,-0.12599962204694748,-106026328.3956107,1257869664.2202933,-0.09908530116081238,-0.007722188252955675,-0.0913631129078567,-114922888.15552646,-416388343.2993045,-0.006459999363869429,-0.034636509139090776,8896559.759915754
2022-05-17 23:15:00,841481320.9209888,-0.13867172598838806,0.0023821615613996983,-0.14105388754978776,-118694211.61643602,1257869664.2202933,-0.09270607680082321,0.012748598121106625,-0.10545467492192984,-132648236.53450806,-416388343.2993045,-0.010366436559706926,-0.035599212627857924,13954024.918072045
2022-08-17 06:45:00,841481320.9209888,-0.13813255727291107,-0.007772406563162804,-0.13036015070974827,-109695631.81469814,1257869664.2202933,-0.09490721672773361,0.0032570993062108755,-0.09816431603394449,-123477915.24803251,-416388343.2993045,-0.01102950586937368,-0.03219583467580378,13782283.433334365
2022-11-16 14:15:00,841481320.9209888,-0.18854111433029175,-0.04352211579680443,-0.14501899853348732,-122030778.44459784,1257869664.2202933,-0.13739590346813202,-0.03805554658174515,-0.09934035688638687,-124957221.36020355,-416388343.2993045,-0.00546656921505928,-0.04567864164710045,2926442.915605709
2023-02-15 21:45:00,841481320.9209888,-0.17429207265377045,-0.022766735404729843,-0.1515253372490406,-127505740.941321,1257869664.2202933,-0.12297849357128143,-0.016045711934566498,-0.10693278163671494,-134507502.13151655,-416388343.2993045,-0.006721023470163345,-0.04459255561232567,7001761.190195546
2023-05-18 05:15:00,841481320.9209888,-0.11658965796232224,0.004964011255651712,-0.12155366921797395,-102285142.13633366,1257869664.2202933,-0.07491486519575119,0.014143289066851139,-0.08905815426260233,-112023550.59837867,-416388343.2993045,-0.009179277811199427,-0.03249551495537162,9738408.462045014
