mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,12293541.0,0.33,0.1,0.23,2827514.0,2019-01-01,2019-01-01 00:00:00,,,0.1,,,UpperSubglacialLakeConway
2019-04-02 13:30:00,,,0.16,,,2019-04-02,2019-04-02 06:00:00,,,0.11,,,UpperSubglacialLakeConway
2019-07-02 21:00:00,,,0.09,,,2019-07-02,2019-07-02 12:00:00,,,0.12,,,UpperSubglacialLakeConway
2019-10-02 04:30:00,11454399.0,0.31,0.22,0.09,1030896.0,2019-10-02,2019-10-01 18:00:00,,,0.13,,,UpperSubglacialLakeConway
2020-01-01 12:00:00,12524417.0,0.31,0.07,0.24,3005860.0,2020-01-01,2020-01-01 00:00:00,,,0.13,,,UpperSubglacialLakeConway
2020-04-01 19:30:00,264845466.0,0.43,0.16,0.27,71508280.0,2020-04-01,2020-04-01 12:00:00,4055692.0,0.3,0.12,0.1800000071525573,730025.0,UpperSubglacialLakeConway
2020-07-02 03:00:00,71617134.0,-0.35,0.13,-0.48,-34376224.0,2020-07-02,2020-07-02 00:00:00,,,0.1,,,UpperSubglacialLakeConway
2020-10-01 10:30:00,,,0.1,,,2020-10-01,2020-10-01 12:00:00,,,0.09,,,UpperSubglacialLakeConway
2020-12-31 18:00:00,150625266.0,0.42,0.05,0.37,55731348.0,2020-12-31,2021-01-01 00:00:00,,,0.08,,,UpperSubglacialLakeConway
2021-04-02 01:30:00,3776740.0,-0.3,0.02,-0.32,-1208557.0,2021-04-02,2021-04-02 06:00:00,,,0.09,,,UpperSubglacialLakeConway
2021-07-02 09:00:00,17771263.0,0.31,0.23,0.08,1421701.0,2021-07-02,2021-07-02 12:00:00,,,0.09,,,UpperSubglacialLakeConway
