mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,,,-0.15,,,2019-01-01,2019-01-01 00:00:00,,,-0.15,,,Thw_170
2019-04-02 13:30:00,,,-0.18,,,2019-04-02,2019-04-02 06:00:00,,,-0.09,,,Thw_170
2019-07-02 21:00:00,,,0.08,,,2019-07-02,2019-07-02 12:00:00,6269270.0,0.74,-0.04,0.7799999713897705,4890030.0,Thw_170
2019-10-02 04:30:00,96782175.0,1.01,0.33,0.68,65811880.0,2019-10-02,2019-10-01 18:00:00,15322262.0,0.78,-0.03,0.8100000023841858,12411032.0,Thw_170
2020-01-01 12:00:00,,,-0.31,,,2020-01-01,2020-01-01 00:00:00,28056848.0,0.86,-0.03,0.8899999856948853,24970594.0,Thw_170
2020-04-01 19:30:00,29488512.0,0.89,-0.26,1.15,33911788.0,2020-04-01,2020-04-01 12:00:00,25609875.0,0.81,-0.03,0.8399999737739563,21512296.0,Thw_170
2020-07-02 03:00:00,77690092.0,0.96,0.26,0.7,54383068.0,2020-07-02,2020-07-02 00:00:00,5960892.0,0.73,-0.03,0.7599999904632568,4530278.0,Thw_170
2020-10-01 10:30:00,,,-0.05,,,2020-10-01,2020-10-01 12:00:00,,,-0.03,,,Thw_170
2020-12-31 18:00:00,676858.0,0.69,-0.25,0.94,636246.0,2020-12-31,2021-01-01 00:00:00,,,-0.02,,,Thw_170
2021-04-02 01:30:00,52270049.0,0.83,-0.29,1.12,58542456.0,2021-04-02,2021-04-02 06:00:00,,,-0.01,,,Thw_170
2021-07-02 09:00:00,47400811.0,0.99,-0.04,1.03,48822836.0,2021-07-02,2021-07-02 12:00:00,,,-0.0,,,Thw_170
