mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,,,0.06,,,2019-01-01,2019-01-01 00:00:00,,,0.06,,,LowerMercerSubglacialLake
2019-04-02 13:30:00,,,-0.0,,,2019-04-02,2019-04-02 06:00:00,,,0.03,,,LowerMercerSubglacialLake
2019-07-02 21:00:00,,,0.12,,,2019-07-02,2019-07-02 12:00:00,,,0.02,,,LowerMercerSubglacialLake
2019-10-02 04:30:00,15314759.0,0.36,0.13,0.23,3522395.0,2019-10-02,2019-10-01 18:00:00,1691377.0,0.3,0.07,0.2300000041723251,389017.0,LowerMercerSubglacialLake
2020-01-01 12:00:00,32160918.0,0.69,0.01,0.68,21869424.0,2020-01-01,2020-01-01 00:00:00,16355287.0,0.37,0.06,0.3100000023841858,5070139.0,LowerMercerSubglacialLake
2020-04-01 19:30:00,24492644.0,0.52,0.06,0.46,11266616.0,2020-04-01,2020-04-01 12:00:00,15402892.0,0.36,0.08,0.2800000011920929,4312810.0,LowerMercerSubglacialLake
2020-07-02 03:00:00,,,0.09,,,2020-07-02,2020-07-02 00:00:00,,,0.08,,,LowerMercerSubglacialLake
2020-10-01 10:30:00,10168133.0,-0.44,0.07,-0.51,-5185748.0,2020-10-01,2020-10-01 12:00:00,,,0.03,,,LowerMercerSubglacialLake
2020-12-31 18:00:00,,,-0.03,,,2020-12-31,2021-01-01 00:00:00,,,-0.04,,,LowerMercerSubglacialLake
2021-04-02 01:30:00,567079.0,0.33,-0.04,0.37,209819.0,2021-04-02,2021-04-02 06:00:00,,,-0.05,,,LowerMercerSubglacialLake
2021-07-02 09:00:00,2239809.0,0.17,0.21,-0.04,-89592.0,2021-07-02,2021-07-02 12:00:00,,,-0.04,,,LowerMercerSubglacialLake
