mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,,,0.04,,,2019-01-01,2019-01-01 00:00:00,,,0.04,,,EngelhardtSubglacialLake
2019-04-02 13:30:00,,,0.1,,,2019-04-02,2019-04-02 06:00:00,,,0.04,,,EngelhardtSubglacialLake
2019-07-02 21:00:00,,,0.05,,,2019-07-02,2019-07-02 12:00:00,,,0.05,,,EngelhardtSubglacialLake
2019-10-02 04:30:00,47525209.0,0.29,0.21,0.08,3802016.0,2019-10-02,2019-10-01 18:00:00,,,0.06,,,EngelhardtSubglacialLake
2020-01-01 12:00:00,,,-0.01,,,2020-01-01,2020-01-01 00:00:00,,,0.07,,,EngelhardtSubglacialLake
2020-04-01 19:30:00,,,0.05,,,2020-04-01,2020-04-01 12:00:00,,,0.07,,,EngelhardtSubglacialLake
2020-07-02 03:00:00,,,0.12,,,2020-07-02,2020-07-02 00:00:00,,,0.06,,,EngelhardtSubglacialLake
2020-10-01 10:30:00,,,-0.01,,,2020-10-01,2020-10-01 12:00:00,,,0.06,,,EngelhardtSubglacialLake
2020-12-31 18:00:00,171676413.0,0.33,0.05,0.28,48069396.0,2020-12-31,2021-01-01 00:00:00,35344200.0,0.28,0.07,0.209999993443489,7422282.0,EngelhardtSubglacialLake
2021-04-02 01:30:00,33343929.0,0.29,0.0,0.29,9669739.0,2021-04-02,2021-04-02 06:00:00,,,0.08,,,EngelhardtSubglacialLake
2021-07-02 09:00:00,,,0.12,,,2021-07-02,2021-07-02 12:00:00,,,0.09,,,EngelhardtSubglacialLake
