mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,,,0.0,,,2019-01-01,2019-01-01 00:00:00,,,0.0,,,Mac1
2019-04-02 13:30:00,,,0.05,,,2019-04-02,2019-04-02 06:00:00,4197205.0,0.38,0.01,0.3700000047683716,1552966.0,Mac1
2019-07-02 21:00:00,137712621.0,0.87,-0.08,0.95,130826992.0,2019-07-02,2019-07-02 12:00:00,35852304.0,-0.59,0.02,-0.6100000143051147,-21869906.0,Mac1
2019-10-02 04:30:00,229563134.0,0.62,0.13,0.49,112485936.0,2019-10-02,2019-10-01 18:00:00,86192240.0,-1.03,0.05,-1.0800000429153442,-93087624.0,Mac1
2020-01-01 12:00:00,248808667.0,-2.31,-0.13,-2.18,-542402944.0,2020-01-01,2020-01-01 00:00:00,145024158.0,-1.2,0.04,-1.2400000095367432,-179829952.0,Mac1
2020-04-01 19:30:00,117983106.0,-0.67,0.05,-0.72,-84947840.0,2020-04-01,2020-04-01 12:00:00,153348737.0,-0.99,-0.02,-0.9700000286102296,-148748272.0,Mac1
2020-07-02 03:00:00,70408044.0,-0.68,0.01,-0.69,-48581552.0,2020-07-02,2020-07-02 00:00:00,116303388.0,-0.55,-0.06,-0.4900000095367431,-56988664.0,Mac1
2020-10-01 10:30:00,11766472.0,0.44,0.02,0.42,4941918.0,2020-10-01,2020-10-01 12:00:00,,,-0.06,,,Mac1
2020-12-31 18:00:00,20614703.0,0.61,-0.1,0.71,14636439.0,2020-12-31,2021-01-01 00:00:00,,,-0.04,,,Mac1
2021-04-02 01:30:00,24365016.0,0.64,0.02,0.62,15106310.0,2021-04-02,2021-04-02 06:00:00,,,-0.04,,,Mac1
2021-07-02 09:00:00,15818181.0,0.56,0.01,0.55,8700000.0,2021-07-02,2021-07-02 12:00:00,,,-0.04,,,Mac1
