mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,50292673.0,0.53,0.2,0.33,16596582.0,2019-01-01,2019-01-01 00:00:00,47749708.0,0.54,0.2,0.3400000035762787,16234901.0,LowerConwaySubglacialLake
2019-04-02 13:30:00,,,0.21,,,2019-04-02,2019-04-02 06:00:00,30741000.0,0.41,0.18,0.2300000041723251,7070430.0,LowerConwaySubglacialLake
2019-07-02 21:00:00,18314504.0,-0.72,0.14,-0.86,-15750474.0,2019-07-02,2019-07-02 12:00:00,7674354.0,-0.4,0.08,-0.4799999892711639,-3683690.0,LowerConwaySubglacialLake
2019-10-02 04:30:00,12860170.0,-0.56,0.25,-0.81,-10416738.0,2019-10-02,2019-10-01 18:00:00,20594029.0,-0.51,0.06,-0.5699999928474426,-11738596.0,LowerConwaySubglacialLake
2020-01-01 12:00:00,9011193.0,-0.45,0.02,-0.47,-4235260.0,2020-01-01,2020-01-01 00:00:00,6246202.0,-0.41,0.09,-0.5,-3123101.0,LowerConwaySubglacialLake
2020-04-01 19:30:00,,,0.03,,,2020-04-01,2020-04-01 12:00:00,,,0.12,,,LowerConwaySubglacialLake
2020-07-02 03:00:00,,,0.15,,,2020-07-02,2020-07-02 00:00:00,,,0.11,,,LowerConwaySubglacialLake
2020-10-01 10:30:00,,,0.1,,,2020-10-01,2020-10-01 12:00:00,,,0.06,,,LowerConwaySubglacialLake
2020-12-31 18:00:00,,,0.04,,,2020-12-31,2021-01-01 00:00:00,,,0.05,,,LowerConwaySubglacialLake
2021-04-02 01:30:00,,,0.01,,,2021-04-02,2021-04-02 06:00:00,,,0.02,,,LowerConwaySubglacialLake
2021-07-02 09:00:00,,,0.25,,,2021-07-02,2021-07-02 12:00:00,,,0.02,,,LowerConwaySubglacialLake
