mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3),date,mid_pt_datetime_CS2,evolving_outlines_area (m^2)_CS2,evolving_outlines_dh (m)_CS2,evolving_outlines_region_dh (m)_CS2,evolving_outlines_dh_corr (m)_CS2,evolving_outlines_dV_corr (m^3)_CS2,name
2019-01-01 00:00:00,0,0.0,-0.01,0.0,0,2019-01-01,2019-01-01 00:00:00,0.0,0.0,-0.01,0.0,0.0,Lake12
2019-04-02 13:30:00,0,0.0,-0.0,0.0,0,2019-04-02,2019-04-02 06:00:00,0.0,0.0,0.04,0.0,0.0,Lake12
2019-07-02 21:00:00,0,0.0,0.02,0.0,0,2019-07-02,2019-07-02 12:00:00,0.0,0.0,0.03,0.0,0.0,Lake12
2019-10-02 04:30:00,2714521,0.25,0.18,0.07,190016,2019-10-02,2019-10-01 18:00:00,0.0,0.0,0.01,0.0,0.0,Lake12
2020-01-01 12:00:00,997771,-0.29,-0.06,-0.23,-229487,2020-01-01,2020-01-01 00:00:00,0.0,0.0,-0.01,0.0,0.0,Lake12
2020-04-01 19:30:00,0,0.0,-0.0,0.0,0,2020-04-01,2020-04-01 12:00:00,1833068.0,0.25,0.0,0.25,458267.0,Lake12
2020-07-02 03:00:00,28344418,0.59,0.05,0.54,15305986,2020-07-02,2020-07-02 00:00:00,54475796.0,0.46,-0.0,0.46,25058866.0,Lake12
2020-10-01 10:30:00,120756658,1.07,0.03,1.04,125586924,2020-10-01,2020-10-01 12:00:00,90716585.0,0.67,0.03,0.64,58058614.0,Lake12
2020-12-31 18:00:00,64642667,0.37,-0.02,0.39,25210640,2020-12-31,2021-01-01 00:00:00,79656369.0,0.53,0.05,0.48,38235057.0,Lake12
2021-04-02 01:30:00,123318361,-0.65,-0.1,-0.55,-67825099,2021-04-02,2021-04-02 06:00:00,67551252.0,0.32,0.08,0.24,16212300.0,Lake12
2021-07-02 09:00:00,55296628,-0.66,0.15,-0.81,-44790269,2021-07-02,2021-07-02 12:00:00,49437046.0,0.27,0.09,0.18,8898668.0,Lake12
