midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dvol_corr (m^3),static_outline_area (m^2),static_outline_dh (m),static_outline_region_dh (m),static_outline_dh_corr (m),static_outline_dvol_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dvol_corr (m^3)
2018-11-16 14:15:00,80425960.51848471,0.2066094875335693,0.1316791623830795,0.0749303251504898,6026343.372190516,185034488.6248045,0.08722269,0.12467215,-0.037449464,-6929442.457876519,-104608528.1063198,0.0070070102810859,0.1123797893524169,12955785.830067037
2019-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.01113426,-0.023529924,0.012395664,2293625.37128159,-185034488.6248045,0.0235299244523048,-0.0123956641182303,-2293625.37128159
2019-05-18 05:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.005016952,0.015065801,-0.0100488495,-1859383.730011172,-185034488.6248045,-0.0150658013299107,0.0100488495081663,1859383.730011172
2019-08-17 12:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.017101914,0.0017764136,0.0153255,2835745.9996351893,-185034488.6248045,-0.0017764136428013,-0.0153254996985197,-2835745.9996351893
2019-11-16 20:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.012857728,-0.009883626,-0.0029741013,-550311.3209835787,-185034488.6248045,0.0098836263641715,0.0029741013422608,550311.3209835787
2020-02-16 03:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.05923824,0.050022088,0.009216152,1705305.9967511373,-185034488.6248045,-0.0500220879912376,-0.0092161521315574,-1705305.9967511373
2020-05-17 11:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.03265898,0.0231393,0.0095196795,1761469.022945887,-185034488.6248045,-0.0231392998248338,-0.0095196794718503,-1761469.022945887
2020-08-16 18:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.041331492,-0.03845331,-0.0028781816,-532562.8672482658,-185034488.6248045,0.0384533107280731,0.0028781816363334,532562.8672482658
2020-11-16 02:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.08703924,0.093159996,-0.0061207563,-1132551.006139201,-185034488.6248045,-0.0931599959731102,0.0061207562685012,1132551.006139201
2021-02-15 09:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.002693478,0.005430966,-0.0027374881,-506529.7166155712,-185034488.6248045,-0.0054309661500155,0.0027374881319701,506529.7166155712
2021-05-17 17:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.0073331846,-0.009080868,0.0017476836,323381.7452641686,-185034488.6248045,0.0090808682143688,-0.0017476836219429,-323381.7452641686
2021-08-17 00:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.0059652384,-0.009218052,0.0151832905,2809432.3871414536,-185034488.6248045,0.0092180520296096,-0.0151832904666662,-2809432.3871414536
2021-11-16 08:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.021741275,-0.0056797573,-0.016061518,-2971934.832820895,-185034488.6248045,0.0056797573342919,0.0160615183413028,2971934.832820895
2022-02-15 15:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.0005403508,0.009688314,-0.010228665,-1892655.7262142687,-185034488.6248045,-0.009688314050436,0.0102286646142601,1892655.7262142687
2022-05-17 23:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.013362906,-0.009502883,0.022865789,4230959.57667541,-185034488.6248045,0.0095028830692172,-0.0228657890111207,-4230959.57667541
2022-08-17 06:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.0299524,0.00818278,0.02176962,4028130.5927311545,-185034488.6248045,-0.0081827798858284,-0.0217696204781532,-4028130.5927311545
2022-11-16 14:15:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,-0.04835398,-0.050391205,0.0020372234,376956.59530470695,-185034488.6248045,0.0503912046551704,-0.0020372234284877,-376956.59530470695
2023-02-15 21:45:00,0.0,0.0,0.0,0.0,0.0,185034488.6248045,0.0057514426,-0.011126419,0.016877862,3122986.507537221,-185034488.6248045,0.0111264185979962,-0.0168778616935014,-3122986.507537221
