midcyc_datetime,evolving_union_area (m^2),evolving_union_dh (m),evolving_union_region_dh (m),evolving_union_dh_corr (m),evolving_union_dV_corr (m^3),stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3),bias_area (m^2),bias_region_dh (m),bias_outlines_dh_corr (m),bias_dV_corr (m^3)
2019-02-15 21:45:00,446170217.40250593,-0.0029885785188525915,-0.006352015770971775,0.0033634372521191835,1500665.5299977034,154197327.8873719,0.01957816816866398,-0.00029634175007231534,0.019874509918736294,3064596.3225402054,291972889.51513404,-0.00605567402089946,-0.01651107266661711,-1563930.792542502
2019-05-18 05:15:00,446170217.40250593,0.02142462693154812,-0.006695725489407778,0.028120352420955896,12546463.753092976,154197327.8873719,0.03101125732064247,0.009202656336128712,0.02180860098451376,3362827.99677393,291972889.51513404,-0.01589838182553649,0.006311751436442137,9183635.756319046
2019-08-17 12:45:00,446170217.40250593,0.04179750382900238,0.03326950594782829,0.008527997881174088,3804938.6686515524,154197327.8873719,0.02228655107319355,0.04695410653948784,-0.02466755546629429,-3803671.1384161133,291972889.51513404,-0.013684600591659546,0.033195553347468376,7608609.807067666
2019-11-16 20:15:00,446170217.40250593,-0.0091013852506876,0.005918160080909729,-0.015019545331597328,-6701273.805885573,154197327.8873719,-0.03029129095375538,-0.010970266535878181,-0.019321024417877197,-2979250.337283329,291972889.51513404,0.01688842661678791,0.004301479086279869,-3722023.468602244
2020-02-16 03:45:00,446170217.40250593,-0.10087910294532776,-0.0036495928652584553,-0.0972295100800693,-43380911.65036366,154197327.8873719,-0.18909978866577148,-0.07235075533390045,-0.11674903333187103,-18002388.97320823,291972889.51513404,0.068701162468642,0.01951952325180173,-25378522.67715543
2020-05-17 11:15:00,446170217.40250593,-0.24361318349838257,-0.02397233061492443,-0.21964085288345814,-97997207.08148433,154197327.8873719,-0.407630980014801,-0.16547031700611115,-0.24216066300868988,-37340527.155374326,291972889.51513404,0.14149798639118671,0.022519810125231743,-60656679.92611001
2020-08-16 18:45:00,446170217.40250593,-0.11924625933170319,0.016459381207823753,-0.13570564053952694,-60547815.142267056,154197327.8873719,-0.2882864773273468,-0.10307633131742477,-0.18521014600992203,-28558909.61235997,291972889.51513404,0.11953571252524853,0.04950450547039509,-31988905.529907085
2020-11-16 02:15:00,446170217.40250593,-0.15537120401859283,0.009771390818059444,-0.16514259483665228,-73681707.4406831,154197327.8873719,-0.28761717677116394,-0.09661865234375,-0.19099852442741394,-29451462.09713816,291972889.51513404,0.10639004316180944,0.02585592959076166,-44230245.34354494
2021-02-15 09:45:00,446170217.40250593,-0.18896512687206268,-0.03391234204173088,-0.1550527848303318,-69179934.71661311,154197327.8873719,-0.30668920278549194,-0.14989712834358215,-0.1567920744419098,-24176918.912860386,291972889.51513404,0.11598478630185127,0.0017392896115779877,-45003015.80375273
2021-05-17 17:15:00,446170217.40250593,-0.10053805261850357,-0.010008921846747398,-0.09052913077175617,-40391401.957694344,154197327.8873719,-0.1844843626022339,-0.0747046247124672,-0.1097797378897667,-16927742.2387781,291972889.51513404,0.0646957028657198,0.01925060711801052,-23463659.718916245
2021-08-17 00:45:00,446170217.40250593,-0.07383053004741669,0.025017382577061653,-0.09884791262447834,-44102994.665447414,154197327.8873719,-0.1469058096408844,-0.055050499737262726,-0.09185530990362167,-14163843.33940491,291972889.51513404,0.08006788231432438,-0.0069926027208566666,-29939151.326042503
2021-11-16 08:15:00,446170217.40250593,-0.10161024332046509,-0.03189213573932648,-0.06971810758113861,-31106143.21636791,154197327.8873719,-0.1469494104385376,-0.09189605712890625,-0.05505335330963135,-8489079.971584557,291972889.51513404,0.06000392138957977,-0.014664754271507263,-22617063.244783357
2022-02-15 15:45:00,446170217.40250593,-0.07381294667720795,-0.0021100726444274187,-0.07170287403278053,-31991686.895590186,154197327.8873719,-0.12185274809598923,-0.056091710925102234,-0.065761037170887,-10140176.210852914,291972889.51513404,0.053981638280674815,-0.005941836861893535,-21851510.684737273
2022-05-17 23:15:00,446170217.40250593,-0.03307219222187996,-0.006380986422300339,-0.02669120579957962,-11908821.094333466,154197327.8873719,-0.058046095073223114,-0.02960405871272087,-0.028442036360502243,-4385686.006464918,291972889.51513404,0.023223072290420532,0.0017508305609226227,-7523135.087868548
2022-08-17 06:45:00,446170217.40250593,-0.030420951545238495,0.013791976496577263,-0.04421292804181576,-19726491.71641829,154197327.8873719,-0.0588117316365242,-0.024552997201681137,-0.03425873443484306,-5282605.306655894,291972889.51513404,0.0383449736982584,-0.009954193606972694,-14443886.409762394
2022-11-16 14:15:00,446170217.40250593,-0.052334144711494446,-0.01782887615263462,-0.034505268558859825,-15395223.17443834,154197327.8873719,-0.07145971059799194,-0.04826836660504341,-0.023191343992948532,-3576043.2738295174,291972889.51513404,0.03043949045240879,-0.011313924565911293,-11819179.900608823
2023-02-15 21:45:00,446170217.40250593,-0.10350118577480316,-0.06670762598514557,-0.03679355978965759,-16416190.57036363,154197327.8873719,-0.12349653989076614,-0.10316868871450424,-0.020327851176261902,-3134500.333071755,291972889.51513404,0.03646106272935867,-0.01646570861339569,-13281690.237291874
2023-05-18 05:15:00,446170217.40250593,0.0023716518189758062,0.0018041935982182622,0.000567458220757544,253182.95772223262,154197327.8873719,-0.01058067288249731,-0.0030517578125,-0.007528915069997311,-1160938.585684551,291972889.51513404,0.004855951410718262,0.008096373290754855,1414121.5434067836
2023-08-17 12:45:00,446170217.40250593,0.01037154532968998,0.02174440771341324,-0.011372862383723259,-5074232.482234588,154197327.8873719,-0.006506264675408602,0.007861889898777008,-0.01436815457418561,-2215531.0420121406,291972889.51513404,0.01388251781463623,0.002995292190462351,-2858701.4402224473
2023-11-16 20:15:00,446170217.40250593,0.013417585752904415,0.04087414592504501,-0.0274565601721406,-12250299.421128957,154197327.8873719,-0.00041728117503225803,0.01580529473721981,-0.01622257591225207,-2501477.8571193134,291972889.51513404,0.025068851187825203,-0.01123398425988853,-9748821.564009644
2024-02-16 03:45:00,446170217.40250593,-0.07128134369850159,-0.04474031552672386,-0.026541028171777725,-11841816.309488103,154197327.8873719,-0.08664418011903763,-0.06429009884595871,-0.02235408127307892,-3446939.5996859097,291972889.51513404,0.019549783319234848,-0.004186946898698807,-8394876.709802194
