mid_pt_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2010-10-01 22:30:00,0,0.0,-0.09,0.0,0
2011-01-01 00:00:00,0,0.0,-0.08,0.0,0
2011-04-02 07:30:00,0,0.0,-0.06,0.0,0
2011-07-02 15:00:00,0,0.0,-0.03,0.0,0
2011-10-01 22:30:00,0,0.0,-0.02,0.0,0
2012-01-01 00:00:00,0,0.0,-0.05,0.0,0
2012-04-01 07:30:00,0,0.0,-0.06,0.0,0
2012-07-01 15:00:00,2556829,-0.37,-0.05,-0.32,-818185
2012-09-30 22:30:00,18030328,-0.44,-0.04,-0.4,-7212131
2013-01-01 00:00:00,50437575,-0.59,-0.04,-0.55,-27740666
2013-04-02 07:30:00,93818952,-0.81,-0.06,-0.75,-70364214
2013-07-02 15:00:00,135454817,-1.1,-0.08,-1.02,-138163913
2013-10-01 22:30:00,160689204,-1.37,-0.1,-1.27,-204075289
2014-01-01 00:00:00,168474470,-1.43,-0.11,-1.32,-222386300
2014-04-02 07:30:00,152308510,-1.25,-0.09,-1.16,-176677872
2014-07-02 15:00:00,116997278,-0.97,-0.05,-0.92,-107637496
2014-10-01 22:30:00,57158955,-0.59,-0.05,-0.54,-30865836
2015-01-01 00:00:00,57158955,-0.03,-0.07,0.04,2286358
2015-04-02 07:30:00,14863320,0.39,-0.08,0.47,6985760
2015-07-02 15:00:00,34416646,0.48,-0.08,0.56,19273322
2015-10-01 22:30:00,44694188,0.57,-0.08,0.65,29051222
2016-01-01 00:00:00,49269786,0.63,-0.07,0.7,34488850
2016-04-01 07:30:00,40895938,0.58,-0.06,0.64,26173400
2016-07-01 15:00:00,41566359,0.57,-0.04,0.61,25355479
2016-09-30 22:30:00,47747071,0.59,-0.0,0.59,28170772
2017-01-01 00:00:00,38809516,0.53,-0.0,0.53,20569043
2017-04-02 07:30:00,37149723,0.54,-0.04,0.58,21546839
2017-07-02 15:00:00,42948240,0.59,-0.04,0.63,27057391
2017-10-01 22:30:00,33657473,0.52,-0.02,0.54,18175035
2018-01-01 00:00:00,20701684,0.46,-0.05,0.51,10557859
2018-04-02 07:30:00,8966822,0.41,-0.08,0.49,4393743
2018-07-02 15:00:00,889056,0.37,-0.06,0.43,382294
2018-10-01 22:30:00,412596,0.35,-0.03,0.38,156786
2019-01-01 00:00:00,350939,0.28,-0.01,0.29,101772
2019-04-02 13:30:00,350939,0.19,0.14,0.05,17547
2019-07-02 21:00:00,16349134,0.41,0.1,0.31,5068232
2019-10-02 04:30:00,23430570,0.38,0.13,0.25,5857642
2020-01-01 12:00:00,23430570,-0.1,-0.25,0.15,3514586
2020-04-01 19:30:00,31523513,0.48,0.03,0.45,14185581
2020-07-02 03:00:00,23141448,0.4,0.12,0.28,6479605
2020-10-01 10:30:00,23141448,0.14,-0.03,0.17,3934046
2020-12-31 18:00:00,4167420,0.38,-0.18,0.56,2333755
2021-04-02 01:30:00,22283278,0.44,0.07,0.37,8244813
2021-07-02 09:00:00,2446375,0.36,-0.18,0.54,1321042
2021-10-01 16:30:00,55166953,0.49,0.16,0.33,18205094
2022-01-01 00:00:00,55166953,-0.04,-0.16,0.12,6620034
2022-04-02 07:30:00,55166953,0.17,0.14,0.03,1655009
2022-07-02 15:00:00,55166953,-0.02,-0.02,0.0,0
2022-10-01 22:30:00,55166953,0.25,0.19,0.06,3310017
2023-01-01 06:00:00,4342763,-0.36,-0.32,-0.04,-173711
2023-04-02 13:30:00,13172168,0.39,0.07,0.32,4215094
2023-07-02 21:00:00,315178,0.35,0.02,0.33,104009
2023-10-02 04:30:00,315178,0.18,-0.05,0.23,72491
2024-01-01 12:00:00,315178,-0.03,-0.08,0.05,15759
2024-04-01 19:30:00,315178,0.17,-0.02,0.19,59884
2024-07-02 03:00:00,1950621,0.34,0.09,0.25,487655
2024-10-01 10:30:00,1950621,-0.12,-0.1,-0.02,-39012
2024-12-31 18:00:00,1950621,-0.18,-0.12,-0.06,-117037
