midcyc_datetime,evolving_outlines_area (m^2),evolving_outlines_dh (m),evolving_outlines_region_dh (m),evolving_outlines_dh_corr (m),evolving_outlines_dV_corr (m^3)
2019-05-18 05:15:00,47873080.886993885,0.056332673877477646,0.01434897817671299,0.041983695700764656,2009888.860217644
2019-08-17 12:45:00,51507487.18174976,-0.1098981574177742,0.01868235133588314,-0.12858050875365734,-6622858.906451869
2019-11-16 20:15:00,268950791.1596613,-0.08999504148960114,0.010869421064853668,-0.1008644625544548,-27127577.00391465
2020-02-16 03:45:00,635009090.794159,-0.21371912956237793,-0.02190418355166912,-0.1918149460107088,-121804234.4669909
2020-05-17 11:15:00,600295776.6372228,-0.20983488857746124,-0.008197150193154812,-0.20163773838430643,-121042282.76278037
2020-08-16 18:45:00,524217982.0993168,-0.21655455231666565,0.0009294185438193381,-0.217483970860485,-114009008.34343006
2020-11-16 02:15:00,545304413.4728416,-0.22688902914524078,0.009331371635198593,-0.23622040078043938,-128812027.09789707
2021-02-15 09:45:00,662847958.3287308,-0.2599945664405823,-0.0028977254405617714,-0.2570968410000205,-170416116.14962992
2021-05-17 17:15:00,794026690.4009653,-0.265068382024765,-0.026925601065158844,-0.23814278095960617,-189091724.20823812
2021-08-17 00:45:00,624387804.2124418,-0.302534282207489,0.0026499584782868624,-0.3051842406857759,-190553317.92203295
2021-11-16 08:15:00,565989169.9230707,-0.23679299652576447,0.004239085130393505,-0.24103208165615797,-136421547.82139865
2022-02-15 15:45:00,624916688.7439473,-0.1908089965581894,-0.028986720368266106,-0.1618222761899233,-101125441.00161536
2022-05-17 23:15:00,528037927.2854467,-0.1834758073091507,-0.007713601924479008,-0.1757622053846717,-92809110.62644102
2022-08-17 06:45:00,468696906.12309796,-0.21739785373210907,0.007731181103736162,-0.22512903483584523,-105517282.1060398
2022-11-16 14:15:00,477866170.9026405,-0.2123933732509613,-0.0013886881060898304,-0.21100468514487147,-100832000.932697
2023-02-15 21:45:00,726625709.4522403,-0.20863519608974457,-0.03897583484649658,-0.16965936124324799,-123278853.728589
2023-05-18 05:15:00,570168536.1536505,-0.22472046315670013,-0.01784924976527691,-0.20687121339142323,-117951456.91171725
2023-08-17 12:45:00,393623061.14539456,-0.21456778049468994,0.009515706449747086,-0.22408348694443703,-88204428.08320336
2023-11-16 20:15:00,424821215.57904536,-0.23318766057491302,0.0118814492598176,-0.24506910983473063,-104110557.14086485
2024-02-16 03:45:00,518169199.9108984,-0.2017909586429596,-0.01228177361190319,-0.1895091850310564,-98197822.7833089
2024-05-17 11:15:00,534771220.3533174,-0.2004995346069336,-0.028933614492416382,-0.1715659201145172,-91748516.47068013
2024-08-16 18:45:00,366264255.32163054,-0.18360905349254608,-0.005994230043143034,-0.17761482344940305,-65053961.04477849
2024-11-16 02:15:00,567727960.653098,-0.14622701704502106,-0.05416203290224075,-0.0920649841427803,-52267865.69494047
